UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
B034,BGEM-0037-S,1086.0,36.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,64.2491389124947,7.4824591180154005,64.1408589249316,136.550416688639,179.223406562608
B035,BGEM-0038-N,1068.0,18.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,70.64099570404001,8.0500558351283,78.20258189374191,160.657623122061,200.551750938362
B036,BGEM-0039-N,1039.0,39.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,69.8615009733637,8.00951321247738,79.76499555694299,171.581201037205,213.92715334349603
B037,BGEM-0040-N,1134.0,34.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,70.9138188597766,7.56354436331725,89.53008095195021,170.074500635117,208.14319554668097
B038,BGEM-0041-S,1264.0,14.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,76.33130723797659,8.941993533448569,77.4213750621413,177.231327545039,217.903624328806
B039,BGEM-0042-S,1349.0,49.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,77.6564482801262,7.279746004760799,68.828099914535,156.890872116839,197.659772039954
B040,BGEM-0043-S,1020.0,20.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,85.1006229580843,9.225791892005018,74.2965477357391,183.634804253917,224.04907948792098
B041,BGEM-0044-S,1320.0,20.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,77.69542301665999,9.83393123176883,90.7018911993511,194.181707068539,236.701487168454
B042,BGEM-0045-N,1203.0,3.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,69.3158546618903,7.8068000992227695,87.5770638729488,192.67500666645,225.495068937125
B043,BGEM-0046-N,1221.0,21.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,75.24001461502979,8.131141080430139,76.2495648147405,180.998078550261,213.92715334349603
B044,BGEM-0047-S,1032.0,32.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,70.4850967579047,8.41493943898659,59.453617935328204,152.370770910572,191.87581424313998
B045,BGEM-0048-S,1229.0,29.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,74.8112925131579,9.63121811851423,76.6401682305408,168.94447533355,207.05870345977797
B046,BGEM-0049-S,1168.0,18.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,78.66979143000529,9.59067549586331,83.28042629914559,180.621403449739,223.32608476332
B047,BGEM-0050-S,1133.0,33.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,84.4770271735433,9.347419759957779,80.1555989727433,179.491378148172,225.856566299426
B048,BGEM-0051-S,1064.0,14.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,76.52618092064559,8.69873779754304,89.9206843677505,178.361352846606,218.988116415709
