"genotype","CHL_LN","CHL_HN"
"BGEM-0136-S",340.664111091767,453.3266559193
"BGEM-0137-S",390.589047524609,385.330822610632
"BGEM-0138-S",417.047351399787,502.042041704474
"BGEM-0140-N",253.583851417089,293.223397538532
"BGEM-0141-N",365.029663068947,389.28452902053
"BGEM-0143-N",336.277902764665,377.309850135992
"BGEM-0144-N",294.43164712127,405.67563371612
"BGEM-0145-N",287.643873849582,313.854435427011
"BGEM-0146-N",376.102618960287,264.870410464871
"BGEM-0147-S",324.21737980557,343.703334321686
"BGEM-0148-S",315.995255163638,304.712923536814
"BGEM-0149-S",302.159714513982,443.860356461113
"BGEM-0150-S",297.04757359017,487.616606560548
"BGEM-0151-N",304.264636944563,391.784389854975
"BGEM-0152-N",281.839040797981,423.125951296512
"BGEM-0153-S",301.161375404566,396.189548963964
"BGEM-0154-S",263.821143912843,407.723060078175
"BGEM-0155-S",397.008882914579,412.578919427032
"BGEM-0156-S",258.132351103848,405.101336366685
"BGEM-0157-N",318.49287661072,392.857788214719
"BGEM-0158-S",320.537313903879,404.398681640789
"BGEM-0159-S",308.269544745261,435.978847352194
"BGEM-0160-S",313.31954268087,408.463630521167
"BGEM-0161-S",284.698232421607,374.909490025217
"BGEM-0162-S",323.04048587957,378.897217979201
"BGEM-0163-S",327.430682394572,426.152967005697
"BGEM-0164-S",336.495720018161,401.833252772392
"BGEM-0165-S",328.720841095783,398.354982570668
"BGEM-0166-S",268.893808489268,352.432667165278
"BGEM-0167-S",371.649610097178,333.418053827356
"BGEM-0168-S",337.627633174187,379.071566546431
"BGEM-0169-S",267.314390885561,385.866200072318
"BGEM-0170-S",341.168530662974,363.459944814239
"BGEM-0171-S",340.373261874773,525.603214452283
"BGEM-0172-S",302.624933788299,368.155634301309
"BGEM-0173-S",278.940826256165,347.492512774689
"BGEM-0174-N",313.159206865367,384.469812930308
"BGEM-0175-S",344.230689986542,328.20976698389
"BGEM-0178-S",326.326058721438,445.664368912865
"BGEM-0179-S",364.793007822624,438.947130857091
"BGEM-0180-S",290.264171962745,346.566610583715
"BGEM-0181-N",304.546795869214,376.160336990417
"BGEM-0182-N",323.61970388045,339.743082764985
"BGEM-0183-N",251.775295484474,295.068310232563
"BGEM-0184-N",360.71754666795,394.287344062884
"BGEM-0185-N",327.683241417959,337.900619784406
"BGEM-0186-S",317.086680461795,367.548665231265
"BGEM-0187-S",331.884170991987,436.754181703065
"BGEM-0188-S",352.863816301667,421.593395420608
"BGEM-0189-S",257.011544739894,296.901227853485
"BGEM-0190-N",324.151620161374,482.04916398207
"BGEM-0191-N",252.002610647028,316.947326808534
"BGEM-0192-N",257.0008937058,270.357723251826
"BGEM-0193-N",258.216500180756,280.142974689668
"BGEM-0196-N",288.824822067031,352.82114262119
"BGEM-0197-S",385.114782346871,482.425395767193
"BGEM-0198-S",351.832778198803,430.778013623192
"BGEM-0199-S",328.205576220979,388.793675974807
"BGEM-0200-S",303.954603674402,405.184955521783
"BGEM-0201-N",327.855508221143,380.796409661676
"BGEM-0202-N",280.769081240484,390.819799410657
"BGEM-0203-N",249.365140395535,354.348855649787
"BGEM-0204-N",272.099819592293,388.842113507688
"BGEM-0205-N",316.755574842868,420.8067489896
"BGEM-0206-N",350.074748348346,412.646472295483
"BGEM-0207-N",372.665587545568,467.386742515711
"BGEM-0208-N",304.924659506203,449.17767503059
"BGEM-0209-N",306.108852969507,375.597186341711
"BGEM-0210-N",380.503079065573,455.921631787231
"BGEM-0211-N",272.878654203808,365.155312224781
"BGEM-0212-N",276.995458116272,359.220620360204
"BGEM-0213-S",239.611891345947,339.403072513559
"BGEM-0214-S",313.380617349714,439.191941178111
"BGEM-0215-N",329.512741492033,383.824200965711
"BGEM-0216-N",308.926215594384,364.440421360168
"BGEM-0217-S",351.533182165641,347.803878489344
"BGEM-0218-S",390.374252708142,429.458203886561
"BGEM-0219-S",336.775195516484,477.228258510813
"BGEM-0220-S",403.585062589989,407.803296639699
"BGEM-0221-S",402.252966509661,462.645773127084
"BGEM-0222-S",299.481550165984,368.164361422172
"BGEM-0223-N",326.666054484281,352.188884411323
"BGEM-0224-N",326.914374028549,339.430435518616
"BGEM-0225-N",280.802870720975,408.170291989801
"BGEM-0226-S",347.875025509088,427.618408752902
"BGEM-0227-N",252.41518852809,383.79118377212
"BGEM-0228-N",331.255162165291,359.75163061372
"BGEM-0229-N",237.686675315215,397.088248326593
"BGEM-0230-N",312.500467452163,347.759473963965
"BGEM-0231-N",278.936442353488,331.400458204723
"BGEM-0233-S",356.290498860854,376.286839684815
"BGEM-0235-N",312.858349639954,302.605181882939
"BGEM-0236-S",341.98043608824,387.425797853397
"BGEM-0237-N",322.374101459557,382.274895587343
"BGEM-0238-N",292.855594451268,360.011012546354
"BGEM-0239-N",252.753081823888,388.139849229777
"BGEM-0240-N",397.998627087872,460.933503603028
"BGEM-0242-N",398.385533872179,488.508597186124
"BGEM-0243-S",438.732779855058,431.68396041259
"BGEM-0244-S",337.187449290639,429.020019109531
"BGEM-0245-S",382.449558745435,402.83917313156
"BGEM-0246-N",311.110108450145,323.41627408291
"BGEM-0247-N",292.012671928055,331.502496958702
"BGEM-0248-N",393.449787049186,437.619954198831
"BGEM-0249-N",316.19185734263,352.530466569378
"BGEM-0250-S",337.119601374551,375.51695158025
"BGEM-0251-S",345.971464637719,331.401548983458
"BGEM-0252-S",298.058557433808,436.617157701836
"BGEM-0253-N",322.744665537932,387.619384732461
"BGEM-0254-S",354.381349090818,385.119965777158
"BGEM-0255-S",287.964431393437,345.373827164308
"BGEM-0256-N",288.69865540669,343.355800014967
"BGEM-0257-S",289.584378384865,377.852141908047
"BGEM-0258-S",284.148269631095,454.569427472041
"BGEM-0259-N",385.354466777994,327.755991208432
"BGEM-0260-N",346.800518468661,469.602131407818
"BGEM-0261-S",425.359724717042,445.589110135523
"BGEM-0262-S",261.630804817837,360.095912922815
"BGEM-0263-S",367.853337930096,407.219797920994
"BGEM-0264-S",281.933580292546,372.434347346179
"BGEM-0266-S",304.757869637166,386.180285269165
"BGEM-0268-S",305.079009568684,366.962822617106
"BGEM-0269-S",317.568219393526,361.760335445044
"BGEM-0270-S",303.169653586592,435.257282683841
"BGEM-0272-S",396.278264479103,460.098420369032
"BGEM-0276-S",227.34453382438,345.096939768009
"BGEM-0277-S",331.439715590233,371.689752508126
"BGEM-0278-S",269.159679148571,281.92701017447
"BGEM-0279-S",325.533856494115,510.737592545685
"BGEM-0280-S",360.845943585057,356.25612047284
"BGEM-0281-N",263.284455093126,386.152093350836
"BGEM-0282-N",355.560755673712,487.430091010423
"BGEM-0283-N",336.767313953215,383.057320513065
"BGEM-0284-N",271.081953493081,356.666254649313
"BGEM-0285-N",280.432063690054,380.427245858202
"BGEM-0286-N",246.874548330707,402.251207556739
"BGEM-0287-N",331.904295921985,371.555665182657
"BGEM-0288-S",289.400050186953,414.592150876872
"BGEM-0289-N",301.950169786023,343.59790335119
"BGEM-0290-N",328.518940064918,462.964987162909
"BGEM-0291-N",393.151888762249,403.93376229121
"BGEM-0292-S",344.862896202628,351.169219613424
"BGEM-0293-N",270.855340247148,365.856676471645
"BGEM-0294-N",301.420594982903,408.140853869113
"BGEM-0295-S",399.303932001216,376.184840269461
"BGEM-0296-S",383.02978040007,496.52612605284
"BGEM-0297-N",333.112146869374,443.559723427318
"BGEM-0298-S",294.028189932083,320.250138708478
"BGEM-0299-N",354.439938854103,427.84133860661
"BGEM-0300-S",298.588337020673,313.698828807704
"BGEM-0301-S",231.871899030444,320.122496113428
"BGEM-0302-S",325.047233520971,410.954720065467
"BGEM-0303-N",327.702775200101,409.071962895964
