"genotype","CHL"
"BGEM-0190-N",484.618048114351
"BGEM-0191-N",310.006566530586
"BGEM-0192-N",272.20133183404
"BGEM-0193-N",263.594346080711
"BGEM-0194-N",396.60163299832
"BGEM-0196-N",348.836836239231
"BGEM-0197-S",485.06145298713
"BGEM-0198-S",441.115226700444
"BGEM-0199-S",398.975106822944
"BGEM-0200-S",413.149737736387
"BGEM-0201-N",383.35256264421
"BGEM-0202-N",388.008891886707
"BGEM-0203-N",364.648497063736
"BGEM-0204-N",380.313164444852
"BGEM-0205-N",415.009103806668
"BGEM-0206-N",424.833054026623
"BGEM-0207-N",460.522287604809
"BGEM-0208-N",456.085491928072
"BGEM-0209-N",375.816383563307
"BGEM-0210-N",454.117973901711
"BGEM-0211-N",359.766503042854
"BGEM-0212-N",371.903001457902
"BGEM-0213-S",346.550041963663
"BGEM-0214-S",443.31026682233
"BGEM-0215-N",386.13328485466
"BGEM-0216-N",361.556427646861
"BGEM-0217-S",361.156712328983
"BGEM-0218-S",433.781736439349
"BGEM-0219-S",487.363237865974
"BGEM-0220-S",422.461598673342
"BGEM-0221-S",455.492196824971
"BGEM-0222-S",387.387841889503
"BGEM-0223-N",354.371418671052
"BGEM-0224-N",339.602275044173
"BGEM-0225-N",413.789165569252
"BGEM-0226-S",442.236241094156
"BGEM-0227-N",381.026703161121
"BGEM-0228-N",354.569147524879
"BGEM-0229-N",403.818836082594
"BGEM-0230-N",353.296150445876
"BGEM-0231-N",326.70256517702
"BGEM-0233-S",383.673854229465
"BGEM-0235-N",296.60087030655
"BGEM-0236-S",388.267936657018
"BGEM-0237-N",373.00144201668
"BGEM-0238-N",360.6431272563
"BGEM-0239-N",383.147811157448
"BGEM-0240-N",458.604054867772
"BGEM-0242-N",480.414542189904
"BGEM-0243-S",433.300796759622
"BGEM-0244-S",434.647857662633
"BGEM-0245-S",401.908681285157
"BGEM-0246-N",319.846134522238
"BGEM-0247-N",332.156301579695
"BGEM-0248-N",433.213471364295
"BGEM-0249-N",352.379548734989
"BGEM-0250-S",387.038976457608
"BGEM-0251-S",331.69048853894
"BGEM-0252-S",429.110905042647
"BGEM-0253-N",381.771981510669
"BGEM-0254-S",385.274158264786
"BGEM-0255-S",356.870330427058
"BGEM-0256-N",345.427422531977
"BGEM-0257-S",375.510210646762
"BGEM-0258-S",466.395347837818
"BGEM-0259-N",335.468053101803
"BGEM-0260-N",464.310728851323
"BGEM-0261-S",443.827834138437
"BGEM-0262-S",359.272449372503
"BGEM-0263-S",403.083443576993
"BGEM-0264-S",374.783991853467
"BGEM-0266-S",375.951231980249
"BGEM-0268-S",385.243148372386
"BGEM-0269-S",347.417808600158
"BGEM-0270-S",439.060357867011
"BGEM-0272-S",466.508528794248
"BGEM-0276-S",353.200960680172
"BGEM-0277-S",373.048259609205
"BGEM-0278-S",278.215594833589
"BGEM-0279-S",519.060146581364
"BGEM-0280-S",373.974144349621
"BGEM-0281-N",381.435184642198
"BGEM-0282-N",488.884871972535
"BGEM-0283-N",383.326958370653
"BGEM-0284-N",348.954836289913
"BGEM-0285-N",387.12777666216
