,UID,genotype,CHL
125,B144,BGEM-0173-S,311.687511696698
126,B145,BGEM-0174-N,346.24985025843597
127,B146,BGEM-0175-S,333.264182998313
128,B147,BGEM-0178-S,397.095646559543
129,B148,BGEM-0179-S,404.102041095179
130,B149,BGEM-0182-N,327.868844173845
131,B150,BGEM-0184-N,374.782114363713
132,B151,BGEM-0186-S,345.510479147732
133,B152,BGEM-0187-S,385.21060791719003
134,B153,BGEM-0188-S,390.043536530737
135,B154,BGEM-0190-N,404.661721154775
136,B155,BGEM-0191-N,277.060230483939
137,B160,BGEM-0197-S,435.35162958061795
138,B161,BGEM-0198-S,394.08363950598
139,B162,BGEM-0199-S,362.222039794646
140,B163,BGEM-0200-S,360.481113083755
141,B165,BGEM-0202-N,329.120682283659
142,B169,BGEM-0206-N,386.906585351625
143,B170,BGEM-0207-N,424.70482654230904
144,B171,BGEM-0208-N,381.057910903012
145,B173,BGEM-0210-N,422.952955752099
146,B175,BGEM-0212-N,323.376257531943
147,B176,BGEM-0213-S,288.970020947602
148,B177,BGEM-0214-S,377.31537996341
149,B180,BGEM-0217-S,353.45520991929396
150,B181,BGEM-0218-S,417.750254674524
151,B182,BGEM-0219-S,413.767399363043
152,B183,BGEM-0220-S,411.426644416841
153,B185,BGEM-0222-S,351.464032362907
154,B186,BGEM-0223-N,331.92576805969503
155,B187,BGEM-0224-N,331.108170498838
156,B188,BGEM-0225-N,342.426411035385
157,B189,BGEM-0226-S,395.381289284331
158,B190,BGEM-0227-N,333.65917726155203
159,B191,BGEM-0228-N,342.62134893325697
160,B194,BGEM-0231-N,304.713175478155
161,B195,BGEM-0233-S,372.36566308435
162,B197,BGEM-0236-S,366.402179864331
163,B198,BGEM-0237-N,351.28995245045195
164,B201,BGEM-0242-N,442.456422905607
165,B202,BGEM-0243-S,444.933023994161
166,B204,BGEM-0246-N,313.551537327635
167,B205,BGEM-0247-N,314.201604299442
168,B206,BGEM-0248-N,416.965470653453
169,B207,BGEM-0250-S,364.955709701122
170,B209,BGEM-0252-S,366.65851719084395
171,B210,BGEM-0253-N,355.664829797579
172,B211,BGEM-0254-S,371.41358924352096
173,B212,BGEM-0255-S,325.528880301731
174,B214,BGEM-0257-S,327.866615502319
175,B215,BGEM-0258-S,376.72818763398806
176,B225,BGEM-0270-S,372.499082088363
177,B226,BGEM-0272-S,431.77847522411696
178,B231,BGEM-0280-S,391.544051447934
179,B236,BGEM-0285-N,329.460014822089
180,B238,BGEM-0287-N,347.132092788569
181,B239,BGEM-0288-S,356.398383851001
182,B243,BGEM-0292-S,351.60700572379096
183,B246,BGEM-0295-S,389.604709794168
184,B247,BGEM-0296-S,436.267521464056
185,B248,BGEM-0297-N,387.878181448136
186,B251,BGEM-0300-S,312.262053022739
187,B252,BGEM-0301-S,269.125009273364
188,B254,BGEM-0302-S,368.415920546097
189,B257,BGEM-0305-S,323.293024630195
190,B259,BGEM-0307-S,382.34096144592996
191,B261,BGEM-0309-S,356.74529528732694
192,B262,BGEM-0310-S,424.343141701131
193,B265,BGEM-0313-S,387.040408611126
194,B267,BGEM-0315-S,431.14704207308097
195,B268,BGEM-0316-S,318.427760277937
196,B273,BGEM-0321-S,404.734823103727
197,B274,BGEM-0322-S,365.250902117585
198,B276,BGEM-0324-N,330.328480596333
199,B277,BGEM-0325-N,375.603399827058
200,B280,BGEM-0328-S,356.03756869679603
201,B283,BGEM-0101-S,396.297638129233
202,B287,BGEM-0171-S,444.48615327278503
203,B292,BGEM-0106-N,339.482041550765
204,B297,BGEM-0238-N,325.230740685598
205,B298,BGEM-0053-S,400.031662758294
206,B299,BGEM-0245-S,395.02522703239305
207,B300,BGEM-0084-S,423.71770609788297
208,B302,BGEM-0058-N,285.325157926685
209,B303,BGEM-0109-N,361.35067515112394
210,B304,BGEM-0029-S,350.136607413613
211,B305,BGEM-0105-N,383.95230591114
212,B306,BGEM-0168-S,359.99704705287496
213,B307,BGEM-0183-N,272.84448795309396
214,B308,BGEM-0163-S,379.92077841246004
215,B309,BGEM-0076-S,376.54919453051
216,B310,BGEM-0180-S,319.152849062563
217,B311,BGEM-0181-N,338.641754073183
218,B312,BGEM-0121-N,267.202496722847
219,B313,BGEM-0251-S,338.907302935662
220,B314,BGEM-0189-S,279.913927785126
221,B315,BGEM-0249-N,330.784931055736
