,UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
30,B034,BGEM-0037-S,1086.0,36.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,82.4509824393699,44.0161237258372,60.321061022046,108.450000001911,155.249999995546
31,B035,BGEM-0038-N,1068.0,18.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,88.4759824393699,53.7911237258372,76.121061022046,118.125000001911,166.749999995546
32,B036,BGEM-0039-N,1039.0,39.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,118.55098243937,113.541123725837,77.371061022046,121.000000001911,163.999999995546
33,B037,BGEM-0040-N,1134.0,34.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,91.4759824393699,58.9661237258372,68.971061022046,116.325000001911,164.999999995546
34,B038,BGEM-0041-S,1264.0,14.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,98.4818987605073,60.9610583527453,74.3805120235991,135.200000001911,183.499999995546
35,B039,BGEM-0042-S,1349.0,49.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,94.4259824393699,54.4161237258372,71.121061022046,103.900000001911,143.249999995546
36,B040,BGEM-0043-S,1020.0,20.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,116.595066118232,69.0461890989292,77.461610020493,133.600000001911,186.999999995546
37,B041,BGEM-0044-S,1320.0,20.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,110.07598243937,70.0411237258372,89.446061022046,146.050000001911,197.749999995546
38,B042,BGEM-0045-N,1203.0,3.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,103.60098243937,64.2161237258372,87.8210610220461,160.625000001911,203.499999995546
39,B043,BGEM-0046-N,1221.0,21.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,107.417570932482,59.7545086981715,72.8022079145967,137.467529515779,177.972707879177
40,B044,BGEM-0047-S,1032.0,32.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,95.1009824393699,55.2911237258372,54.196061022046,117.425000001911,157.999999995546
41,B045,BGEM-0048-S,1229.0,29.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,96.9759824393699,57.1661237258372,74.971061022046,121.325000001911,166.999999995546
42,B046,BGEM-0049-S,1168.0,18.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,102.129403574756,63.8943779519877,82.8711099177028,139.217529515779,192.972707879177
43,B047,BGEM-0050-S,1133.0,33.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,110.95098243937,65.8161237258372,81.946061022046,136.575000001911,189.499999995546
44,B048,BGEM-0051-S,1064.0,14.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,102.367570932482,60.6545086981715,90.0022079145967,138.767529515779,186.972707879177
45,B049,BGEM-0052-S,1109.0,9.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,83.3759824393699,42.3661237258372,68.796061022046,114.050000001911,149.749999995546
46,B050,BGEM-0055-S,1142.0,42.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,99.1509824393699,56.9161237258372,71.321061022046,123.250000001911,169.999999995546
47,B051,BGEM-0056-S,1061.0,11.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,94.6450661182324,55.5711890989292,70.511610020493,119.875000001911,163.999999995546
48,B052,BGEM-0057-S,1161.0,11.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,94.8009824393699,53.8911237258372,70.571061022046,113.450000001911,158.999999995546
49,B053,BGEM-0059-S,1331.0,31.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,97.6568987605073,57.2860583527453,73.3805120235991,126.000000001911,175.499999995546
50,B054,BGEM-0060-S,1107.0,7.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,101.87598243937,64.1661237258372,85.096061022046,145.675000001911,199.749999995546
51,B055,BGEM-0061-N,1118.0,18.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,85.1318987605073,52.3110583527453,82.8805120235991,134.200000001911,177.749999995546
52,B056,BGEM-0062-N,1256.0,6.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,95.4259824393699,53.7911237258372,75.621061022046,124.250000001911,182.499999995546
53,B057,BGEM-0063-N,1272.0,22.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,114.406898760507,69.1360583527453,96.6305120235991,150.175000001911,218.249999995546
54,B058,BGEM-0064-N,1159.0,9.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,105.145066118232,65.4461890989292,106.136610020493,155.050000001911,209.749999995546
55,B059,BGEM-0065-N,1015.0,15.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,99.3450661182325,64.0711890989292,97.636610020493,141.175000001911,194.499999995546
56,B060,BGEM-0066-N,1137.0,37.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,89.8009824393699,51.3661237258372,63.096061022046,111.775000001911,159.249999995546
57,B061,BGEM-0067-S,1241.0,41.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,93.3950661182325,57.4461890989292,64.136610020493,120.325000001911,163.999999995546
58,B062,BGEM-0068-S,1077.0,27.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,97.6509824393699,56.9661237258372,64.446061022046,116.850000001911,160.499999995546
59,B064,BGEM-0069-S,1019.0,19.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,99.6759824393699,59.7411237258372,77.821061022046,131.825000001911,181.499999995546
60,B065,BGEM-0070-S,1102.0,2.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,79.1509824393699,46.0411237258372,70.946061022046,113.475000001911,146.749999995546
61,B066,BGEM-0071-S,1231.0,31.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,89.0259824393699,53.5411237258372,70.321061022046,115.900000001911,163.499999995546
