,UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
197,B276,BGEM-0324-N,1112.0,12.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273184411,59.2051931900647,78.4756663191043,130.838748409842,179.57878025478
198,B277,BGEM-0325-N,1022.0,22.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273197254,59.7675380766365,80.5193539151369,133.189204928706,183.37711227593
199,B280,BGEM-0328-S,1074.0,24.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273227608,60.3572506610862,98.5314428670912,143.063426677071,208.555400967756
200,B283,BGEM-0101-S,1292.0,42.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,97.1946273086847,57.0211209334577,69.46644134757,120.307781457677,158.927911641811
201,B287,BGEM-0171-S,1166.0,16.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273191396,59.5309766704061,75.6518622837578,128.995253100929,184.17698515852
202,B288,BGEM-0147-S,1274.0,24.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273227689,60.1593393586022,77.5399888568684,131.426362539558,180.765139153512
203,B292,BGEM-0106-N,1018.0,18.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273239806,60.6364834940653,86.7695436569393,135.585748830293,192.606083975141
204,B297,BGEM-0238-N,1120.0,20.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273199287,59.6240779651306,88.5894312052606,136.565105713153,194.624877648193
205,B298,BGEM-0053-S,1258.0,8.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273149689,58.7512533270883,86.9702110648973,133.108552008941,182.958064368058
206,B299,BGEM-0245-S,1002.0,2.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273135117,58.4369654061986,67.9703978273213,122.335626297481,165.093300419003
207,B300,BGEM-0084-S,1290.0,40.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,97.1946273190973,59.604681862063,71.7333495440786,125.619352316482,171.291251087924
208,B302,BGEM-0058-N,1169.0,19.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273187553,59.5903451118522,84.1913183742995,132.41198133006,187.423516228957
209,B303,BGEM-0109-N,1044.0,44.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273024932,57.1102719563743,64.0518850876421,119.144075043926,152.904092514385
210,B304,,,,,,,,,,,,,,,,
211,B305,BGEM-0105-N,1317.0,17.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273203313,59.5347848398252,80.6326993249623,136.104231885925,189.645847769733
212,B306,BGEM-0168-S,1124.0,24.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273213859,59.6357866781656,87.4299536953134,133.212248620068,189.330146578474
213,B307,BGEM-0183-N,1059.0,9.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273139625,58.7240277315992,73.3624008947311,131.242013008667,177.63077140661
214,B308,BGEM-0163-S,1328.0,28.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,97.1946273132922,59.2128805800973,74.8098678107689,118.740810445101,155.79354389491
215,B309,BGEM-0076-S,1303.0,3.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273183487,59.2057383925313,82.4765727297597,114.421593222141,182.88070569307
