"genotype","CHL"
"BGEM-0091-N",289.960752490355
"BGEM-0091-N X B73",463.928162802876
"BGEM-0092-S",448.317531409967
"BGEM-0092-S X Mo17",428.742194688699
"BGEM-0094-S",443.669807441474
"BGEM-0094-S X Mo17",486.542961925502
"BGEM-0095-S",455.138778152349
"BGEM-0097-S",420.361091091788
"BGEM-0098-S",425.876059394502
"BGEM-0098-S X Mo17",505.732820901034
"BGEM-0099-S",432.086291973976
"BGEM-0100-S",381.770966577577
"BGEM-0101-S",436.00207419639
"BGEM-0101-S X Mo17",494.55080093304
"BGEM-0102-N",405.565982860458
"BGEM-0102-N X B73",488.879188250646
"BGEM-0103-N",349.749445258687
"BGEM-0103-N X B73",438.697136490383
"BGEM-0105-N",453.822415914588
"BGEM-0105-N X B73",529.101733904261
"BGEM-0106-N",363.227978200216
"BGEM-0107-N",394.926176814821
"BGEM-0107-N X B73",511.760117231902
"BGEM-0108-S",372.009647982515
"BGEM-0108-S X Mo17",522.21225321868
"BGEM-0109-N",380.769748573449
"BGEM-0109-N X B73",520.188470465712
"BGEM-0110-N",424.490375626826
"BGEM-0110-N X B73",523.881797205136
"BGEM-0111-S",544.625150760218
"BGEM-0111-S X Mo17",539.440269401033
"BGEM-0112-S",530.849979271133
"BGEM-0112-S X Mo17",535.500010984375
"BGEM-0113-S",516.177882086179
"BGEM-0113-S X Mo17",548.204477763466
"BGEM-0114-S",456.149339011075
"BGEM-0114-S X Mo17",532.547072598297
"BGEM-0115-S",520.841708471666
"BGEM-0115-S X Mo17",526.188940306315
"BGEM-0116-S",510.469166911523
"BGEM-0116-S X Mo17",542.605827508358
"BGEM-0117-S",515.866998068762
"BGEM-0117-S X Mo17",541.503804319678
"BGEM-0118-S",493.353450941237
"BGEM-0118-S X Mo17",527.758669614189
"BGEM-0120-N",421.561522231203
"BGEM-0121-N",297.593750281953
"BGEM-0121-N X B73",410.675795038544
"BGEM-0122-N",323.958220227286
"BGEM-0122-N X B73",419.90761417707
"BGEM-0123-N",370.630437839928
"BGEM-0123-N X B73",484.137864072364
"BGEM-0124-N",429.296635163179
"BGEM-0124-N X B73",512.892424081438
"BGEM-0125-N",360.846049468291
"BGEM-0125-N X B73",495.282859325507
"BGEM-0126-N",350.574253960153
"BGEM-0126-N X B73",461.852105248171
"BGEM-0127-N",323.882728181076
"BGEM-0127-N X B73",512.28454024008
"BGEM-0129-N",420.242970664983
"BGEM-0129-N X B73",498.099004526765
"BGEM-0130-N",325.213879666846
"BGEM-0130-N X B73",519.606232127168
"BGEM-0131-N",456.929832604732
"BGEM-0131-N X B73",508.198697796827
"BGEM-0133-S",435.884253845854
"BGEM-0134-S",396.060836335915
"BGEM-0134-S X Mo17",508.59438375235
"BGEM-0136-S",453.3266559193
"BGEM-0136-S X Mo17",563.135744595708
"BGEM-0137-S",385.330822610632
"BGEM-0137-S X Mo17",530.05614592251
"BGEM-0138-S",502.042041704474
"BGEM-0140-N",293.223397538531
"BGEM-0140-N X B73",443.342498352122
"BGEM-0141-N",389.284529020529
"BGEM-0141-N X B73",508.517343016788
"BGEM-0143-N",377.309850135992
"BGEM-0143-N X B73",522.202963561577
"BGEM-0144-N",405.67563371612
"BGEM-0144-N X B73",411.23604317562
"BGEM-0145-N",313.854435427011
"BGEM-0145-N X B73",447.015213459766
"BGEM-0146-N",264.870410464872
"BGEM-0146-N X B73",518.810846569213
"BGEM-0147-S",343.703334321687
"BGEM-0147-S X Mo17",515.155471485395
"BGEM-0148-S",304.712923536814
"BGEM-0148-S X Mo17",492.441806976984
"BGEM-0149-S",443.860356461113
"BGEM-0150-S",487.616606560548
"BGEM-0151-N",391.784389854975
"BGEM-0151-N X B73",470.322156039701
"BGEM-0152-N",423.125951296512
"BGEM-0152-N X B73",482.410387405359
"BGEM-0153-S",396.189548963964
"BGEM-0153-S X Mo17",511.579153263654
"BGEM-0154-S",407.723060078175
"BGEM-0154-S X Mo17",503.196685039562
"BGEM-0155-S",412.578919427032
"BGEM-0156-S",405.101336366685
"BGEM-0156-S X Mo17",468.546555934049
"BGEM-0157-N",392.857788214719
"BGEM-0158-S",404.398681640789
"BGEM-0158-S X Mo17",494.266114211846
"BGEM-0159-S",435.978847352194
"BGEM-0159-S X Mo17",479.207093816186
"BGEM-0160-S",408.463630521167
"BGEM-0160-S X Mo17",439.994897207251
"BGEM-0161-S",374.909490025217
"BGEM-0161-S X Mo17",448.037654336673
"BGEM-0162-S",378.897217979201
"BGEM-0162-S X Mo17",513.129624804693
"BGEM-0163-S",426.152967005697
"BGEM-0163-S X Mo17",510.502829351749
"BGEM-0164-S",401.833252772392
"BGEM-0164-S X Mo17",462.313282181202
"BGEM-0165-S",398.354982570667
"BGEM-0165-S X Mo17",367.66858277415
"BGEM-0166-S",352.432667165278
"BGEM-0167-S",333.418053827356
"BGEM-0167-S X Mo17",503.231759562259
"BGEM-0168-S",379.071566546431
"BGEM-0168-S X Mo17",409.907233810412
"BGEM-0169-S",385.866200072318
"BGEM-0170-S",363.459944814239
"BGEM-0170-S X Mo17",437.125604707771
"BGEM-0171-S",525.603214452283
"BGEM-0171-S X Mo17",523.514474714072
"BGEM-0172-S",368.155634301308
"BGEM-0173-S",347.492512774689
"BGEM-0173-S X Mo17",448.608263205869
"BGEM-0174-N",384.469812930308
"BGEM-0174-N X B73",462.588554701699
"BGEM-0175-S",328.20976698389
"BGEM-0175-S X Mo17",444.635866769461
"BGEM-0177-S X Mo17",476.185118437905
"BGEM-0178-S",445.664368912865
"BGEM-0178-S X Mo17",504.993428327853
"BGEM-0179-S",438.947130857091
"BGEM-0179-S X Mo17",480.845391008877
"BGEM-0180-S",346.566610583714
"BGEM-0180-S X Mo17",449.5404749813
"BGEM-0181-N",376.160336990417
"BGEM-0181-N X B73",460.854435209106
"BGEM-0182-N",339.743082764985
"BGEM-0182-N X B73",504.059135759013
"BGEM-0183-N",295.068310232562
"BGEM-0183-N X B73",452.615372937831
"BGEM-0184-N",394.287344062884
"BGEM-0184-N X B73",545.686820690187
"BGEM-0185-N",337.900619784406
"BGEM-0185-N X B73",522.875378385266
"BGEM-0186-S",367.548665231265
"BGEM-0187-S",436.754181703065
"BGEM-0187-S X Mo17",498.043024055162
"BGEM-0188-S",421.593395420608
"BGEM-0188-S X Mo17",500.867804245485
"BGEM-0189-S",296.901227853484
"BGEM-0189-S X Mo17",401.881944254082
"BGEM-0190-N",482.04916398207
"BGEM-0191-N",316.947326808534
"BGEM-0191-N X B73",417.04500419432
"BGEM-0192-N",270.357723251826
"BGEM-0193-N",280.142974689668
"BGEM-0194-N",395.127755811561
"BGEM-0194-N X B73",517.074941929203
"BGEM-0196-N",352.821142621189
