"UID","leaf_length","leaf_width","ear_height","flag_leaf","plant_height"
"B001",81.2386263631306,52.7999999990904,66.1250000000317,124.950000006302,176.499999992925
"B002",76.9579336556776,49.3495386185021,63.5009372525419,126.161572740945,164.604782604816
"B003",106.252852529549,58.5249999990904,81.9000000000317,131.575000006302,182.249999992925
"B004",68.9386263631306,40.4499999990904,69.8750000000317,109.050000006302,143.249999992925
"B005",85.9136263631306,51.9499999990904,72.7500000000317,122.500000006302,166.499999992925
"B006",86.57073944634,51.0249999990904,70.6500000000317,118.000000006302,165.249999992925
"B007",98.8778525295493,59.1249999990904,77.3000000000317,146.225000006302,185.999999992925
"B008",92.3721598220962,50.949538618502,70.0009372525419,132.161572740945,173.104782604816
"B009",90.29573944634,50.0499999990904,63.5750000000317,118.125000006302,158.499999992925
"B010",101.263626363131,57.8499999990904,65.6250000000317,125.150000006302,169.999999992925
"B011",78.9778525295493,46.4499999990904,57.7750000000317,96.800000006302,136.249999992925
"B012",86.37073944634,50.4749999990904,66.4250000000317,118.075000006302,159.499999992925
"B013",79.07073944634,45.1999999990904,67.7000000000317,94.200000006302,132.749999992925
"B014",96.5708327923828,59.0249999990904,63.8750000000317,131.350000006302,186.499999992925
"B016",97.17073944634,55.4249999990904,85.3250000000317,138.500000006302,185.499999992925
"B018",104.622159822096,52.899538618502,69.0009372525419,121.661572740945,168.104782604816
"B019",98.82073944634,58.2249999990904,68.1750000000317,128.075000006302,168.999999992925
"B021",90.8778525295493,53.9249999990904,63.7250000000317,112.925000006302,157.499999992925
"B022",87.14573944634,49.1499999990904,62.7000000000317,103.725000006302,147.249999992925
"B023",104.99573944634,61.4249999990904,76.3500000000317,144.050000006302,196.249999992925
"B024",76.4136263631306,35.4249999990904,56.2750000000317,82.425000006302,109.999999992925
"B025",95.04573944634,59.6749999990904,69.0000000000317,130.200000006302,153.249999992925
"B026",81.7028525295493,47.0749999990904,60.2250000000317,107.325000006302,147.999999992925
"B027",83.14573944634,45.1249999990904,75.6250000000317,104.725000006302,148.749999992925
"B028",88.4136263631306,48.2499999990904,70.7750000000317,125.050000006302,164.749999992925
"B029",77.29573944634,47.8249999990904,46.8500000000317,93.725000006302,132.249999992925
"B030",95.0278525295493,58.3999999990904,86.9250000000317,128.825000006302,184.249999992925
"B031",85.0221598220962,51.799538618502,53.5009372525419,103.661572740945,143.104782604816
"B032",85.1579336556776,51.849538618502,62.5009372525419,114.161572740945,160.604782604816
"B033",76.14573944634,40.8249999990904,62.1250000000317,101.175000006302,140.249999992925
"B034",81.5778525295493,47.5499999990904,50.7000000000317,97.650000006302,139.249999992925
"B035",84.64573944634,51.7499999990904,65.6250000000317,107.200000006302,149.499999992925
"B036",85.5221598220962,50.699538618502,72.0009372525419,118.161572740945,159.104782604816
"B037",81.5221598220962,49.699538618502,87.0009372525419,108.161572740945,151.104782604816
"B038",93.87073944634,55.6249999990904,66.4250000000317,123.300000006302,169.999999992925
"B039",85.39573944634,42.9499999990904,60.6250000000317,101.925000006302,139.249999992925
"B040",107.788626363131,61.9499999990904,76.7000000000317,139.875000006302,186.249999992925
"B041",94.9386263631306,56.5499999990904,82.1750000000317,128.750000006302,174.249999992925
"B042",99.6028525295493,59.3999999990904,81.3000000000317,136.900000006302,183.499999992925
"B043",85.6278525295493,49.3249999990904,61.6500000000317,120.800000006302,162.499999992925
"B044",83.79573944634,48.4749999990904,39.5009372525419,102.661572740945,116.499999992924
"B045",82.42073944634,48.8999999990904,63.0000000000317,105.725000006302,144.499999992925
"B046",100.702852529549,59.6749999990904,79.0750000000317,138.900000006302,184.999999992925
"B047",92.1028525295493,51.1749999990904,64.7000000000317,120.550000006302,163.999999992925
"B048",97.32073944634,58.8249999990904,74.9500000000317,131.600000006302,176.499999992925
"B049",88.7028525295493,50.0749999990904,65.3500000000317,105.050000006302,147.499999992925
"B050",84.0136263631306,46.1749999990904,59.4500000000317,109.125000006302,150.499999992925
"B051",91.7778525295493,53.6999999990904,59.8250000000317,120.400000006302,158.749999992925
"B052",86.5778525295493,45.4999999990904,59.1000000000317,98.325000006302,136.999999992925
"B053",80.3386263631306,44.2499999990904,68.7750000000317,107.800000006302,144.999999992925
"B054",96.52073944634,59.8499999990904,79.2000000000317,129.525000006302,182.749999992925
"B055",84.4778525295493,54.4749999990904,71.0250000000317,130.550000006302,173.999999992925
"B056",90.4136263631306,46.7249999990904,71.7000000000317,128.600000006302,175.749999992925
"B057",101.52073944634,61.8749999990904,79.0000000000317,143.950000006302,196.249999992925
"B058",88.89573944634,47.5499999990904,93.9500000000317,151.750000006302,158.249999992925
"B059",100.313626363131,61.3499999990904,92.7750000000317,144.975000006302,189.249999992925
"B060",76.94573944634,39.9499999990904,58.2750000000317,91.800000006302,129.749999992925
"B061",86.72073944634,52.4749999990904,59.9250000000317,107.450000006302,147.249999992925
"B062",81.39573944634,46.0499999990904,55.4500000000317,103.925000006302,144.999999992925
