"UID","leaf_length","leaf_width","ear_height","flag_leaf","plant_height"
"B001",95.7950661182325,65.0461890989292,71.261610020493,138.425000001911,173.249999995546
"B002",88.3009824393699,55.4411237258372,74.071061022046,131.125000001911,179.749999995546
"B003",104.981898760507,59.8110583527453,90.7055120235991,144.200000001911,201.249999995546
"B004",91.1759824393699,61.7411237258372,81.071061022046,134.550000001911,182.999999995546
"B005",101.55098243937,63.1911237258372,79.946061022046,114.200000001911,188.249999995546
"B006",102.85098243937,65.3911237258372,82.196061022046,131.200000001911,197.249999995546
"B007",NA,NA,NA,NA,NA
"B008",104.320066118232,62.5961890989292,83.136610020493,133.400000001911,178.499999995546
"B009",106.370066118232,66.0461890989292,65.761610020493,129.500000001911,183.749999995546
"B010",108.22598243937,64.9161237258372,79.971061022046,132.725000001911,178.499999995546
"B011",81.7568987605073,49.8360583527453,57.4805120235991,102.875000001911,144.499999995546
"B012",96.6818987605073,58.3360583527453,78.1305120235991,126.200000001911,171.749999995546
"B013",88.6009824393699,53.7161237258372,76.071061022046,102.750000001911,148.749999995546
"B014",100.57598243937,64.1911237258372,87.146061022046,131.750000001911,175.499999995546
"B016",98.6759824393699,60.1911237258372,81.271061022046,134.175000001911,184.249999995546
"B018",107.379403574756,66.9943779519877,73.8711099177028,117.317529515779,166.472707879177
"B019",100.170066118232,64.2711890989292,75.5210121263893,150.932470488042,160.749999995546
"B021",98.1318987605073,61.3110583527453,72.1305120235991,120.450000001911,168.749999995546
"B022",95.9068987605073,56.5610583527453,67.2555120235991,107.850000001911,156.249999995546
"B023",108.206898760507,63.3860583527453,88.0055120235991,151.225000001911,209.249999995546
"B024",92.1950661182324,51.4461890989292,67.011610020493,113.500000001911,159.499999995546
"B025",104.845066118232,66.9711890989292,79.261610020493,138.175000001911,191.749999995546
"B026",96.1259824393699,59.2411237258372,75.571061022046,120.225000001911,171.499999995546
"B027",95.1318987605073,55.0860583527453,82.1305120235991,127.100000001911,176.999999995546
"B028",92.0568987605073,51.9110583527453,81.6399141294954,145.932470488042,157.249999995546
"B029",87.3700661182325,52.3211890989292,62.511610020493,108.100000001911,156.249999995546
"B030",94.4318987605073,62.4360583527453,94.4305120235991,130.625000001911,189.249999995546
"B031",93.6818987605073,58.0360583527453,65.1305120235991,118.125000001911,157.499999995546
"B032",92.284050619199,60.8319708357084,74.434743988204,123.175000001911,166.749999995546
"B033",88.8675709324816,50.3045086981715,79.0022079145967,139.367529515779,167.972707879177
"B034",82.4509824393699,44.0161237258372,60.321061022046,108.450000001911,155.249999995546
"B035",88.4759824393699,53.7911237258372,76.121061022046,118.125000001911,166.749999995546
"B036",118.55098243937,113.541123725837,77.371061022046,121.000000001911,163.999999995546
"B037",91.4759824393699,58.9661237258372,68.971061022046,116.325000001911,164.999999995546
"B038",98.4818987605073,60.9610583527453,74.3805120235991,135.200000001911,183.499999995546
"B039",94.4259824393699,54.4161237258372,71.121061022046,103.900000001911,143.249999995546
"B040",116.595066118232,69.0461890989292,77.461610020493,133.600000001911,186.999999995546
"B041",110.07598243937,70.0411237258372,89.446061022046,146.050000001911,197.749999995546
