UID,CHL_blups_LN,CHL_blups_HN
B214,310.551526716173,384.071009541164
B215,308.076584897098,437.4909025078
B225,316.736606383147,424.04344148311
B226,348.17773058979,441.340858962845
B231,342.995363989372,375.857755983419
B236,306.384677338147,385.864109706061
B238,329.818862679568,379.686637619445
B239,310.467606105657,409.653866550237
B243,335.718630915258,365.491117896968
B246,360.504447806479,382.910031615243
B247,353.095181327085,466.706252489782
B248,330.368770887132,429.824609216273
B251,314.650832814406,339.399680334439
B252,284.276292885039,343.872617787874
B254,326.696991638907,407.121045384964
B257,319.59688108871,358.195722128337
B259,320.489749274034,436.61108300086
B261,325.324920344276,388.853184888514
B262,339.873772846673,454.205808474968
B265,357.880242616647,382.796621531783
B267,348.285440803654,453.914315552971
B268,322.697752026511,350.046088229087
B273,317.24175801182,465.140030272665
B274,323.492119827318,399.298102521685
B276,324.842261494834,361.319602836331
B277,322.196066639643,423.63644734593
B280,326.833017008453,387.098876373299
B283,337.197216728713,424.562055803082
B287,333.674598271014,486.953253392649
B292,314.613516735996,373.887890388085
B297,312.040840085108,371.647848138893
B298,327.91205358465,437.893352464654
B299,352.831019055424,401.470015823791
B300,350.016770915928,441.660854806967
B302,299.641409104632,331.218824773484
B303,338.68742307469,386.102601699811
B304,337.151413889933,355.907816549164
B305,318.304953716107,436.970742322901
B306,332.424573372962,384.92012109646
B307,293.337875435527,326.426850275602
B308,327.782123956544,417.703911017643
B309,336.53060962377,402.427816414174
B310,310.861021914014,362.286222417066
B311,317.363589245423,382.892969455988
B312,298.354223093754,328.185368400172
B313,336.223337959136,351.72646444906
B314,295.721825581549,327.7031501656
B315,322.665331894753,366.438983376743
