"genotype","CHL"
"BGEM-0190-N",325.396217198654
"BGEM-0191-N",242.571621452276
"BGEM-0192-N",253.942782171818
"BGEM-0193-N",252.821316276881
"BGEM-0196-N",299.031756951285
"BGEM-0197-S",384.839000584838
"BGEM-0198-S",355.911767967843
"BGEM-0199-S",325.949133468426
"BGEM-0200-S",303.351982842152
"BGEM-0201-N",336.210151202322
"BGEM-0202-N",273.104180496632
"BGEM-0203-N",264.245533359453
"BGEM-0204-N",270.625264952579
"BGEM-0205-N",310.312219657887
"BGEM-0206-N",356.68155959142
"BGEM-0207-N",385.496673587397
"BGEM-0208-N",312.379047270702
"BGEM-0209-N",303.182474620265
"BGEM-0210-N",388.976928308203
"BGEM-0211-N",270.9674124241
"BGEM-0212-N",276.08606605085
"BGEM-0213-S",237.647220784285
"BGEM-0214-S",316.46160640257
"BGEM-0215-N",333.833438814541
"BGEM-0216-N",302.697023865886
"BGEM-0217-S",355.238125597249
"BGEM-0218-S",400.960561838378
"BGEM-0219-S",344.544452031555
"BGEM-0220-S",410.062811012852
"BGEM-0221-S",404.093770370234
"BGEM-0222-S",322.725529217882
"BGEM-0223-N",320.605736690803
"BGEM-0224-N",327.308249413022
"BGEM-0225-N",287.624594496247
"BGEM-0226-S",352.843433935278
"BGEM-0227-N",278.642806756021
"BGEM-0228-N",338.29456102462
"BGEM-0229-N",234.421775764866
"BGEM-0230-N",316.718900607507
"BGEM-0231-N",276.846770524244
"BGEM-0233-S",361.573605670624
"BGEM-0235-N",310.188882182657
"BGEM-0236-S",341.400920877428
"BGEM-0237-N",330.930090226272
"BGEM-0238-N",291.09525564009
"BGEM-0239-N",254.325846879378
"BGEM-0240-N",400.905734419313
"BGEM-0242-N",394.57082294156
"BGEM-0243-S",440.515624925634
"BGEM-0244-S",345.342483660995
"BGEM-0245-S",380.914290859508
"BGEM-0246-N",307.477479192134
"BGEM-0247-N",296.539554148966
"BGEM-0248-N",402.914013328581
"BGEM-0249-N",318.477852437895
"BGEM-0250-S",342.513739854283
"BGEM-0251-S",352.303594865372
"BGEM-0252-S",301.613043325339
"BGEM-0253-N",328.527825861437
"BGEM-0254-S",356.421876208682
"BGEM-0255-S",293.162343529536
"BGEM-0256-N",295.209814553896
"BGEM-0257-S",286.002717761294
"BGEM-0258-S",284.343540751107
"BGEM-0259-N",391.917278242677
"BGEM-0260-N",355.924774593918
"BGEM-0261-S",428.296873127147
"BGEM-0262-S",261.493060662951
"BGEM-0263-S",371.550922360538
"BGEM-0264-S",284.275966971286
"BGEM-0266-S",306.247646102163
"BGEM-0268-S",317.918562991152
"BGEM-0269-S",310.429516718304
"BGEM-0270-S",309.426105605659
"BGEM-0272-S",390.926238016507
"BGEM-0276-S",239.663916392984
"BGEM-0277-S",334.958533391378
"BGEM-0278-S",263.61633879658
"BGEM-0279-S",333.797853665858
"BGEM-0280-S",377.755585065897
"BGEM-0281-N",217.374769970523
"BGEM-0282-N",356.348213284724
"BGEM-0283-N",333.382040369847
"BGEM-0284-N",260.679517090726
"BGEM-0285-N",282.73974969205
