UID,Barcode,Genotype,Pedigree,
B077,B077_BGEM-0083-S,BGEM-0083-S,BGEM-0083-S,
B078,B078_BGEM-0085-N,BGEM-0085-N,BGEM-0085-N,
B079,B079_BGEM-0086-N,BGEM-0086-N,BGEM-0086-N,
B080,B080_BGEM-0087-N,BGEM-0087-N,BGEM-0087-N,
B081,B081_BGEM-0088-N,BGEM-0088-N,BGEM-0088-N,
B082,B082_BGEM-0089-N,BGEM-0089-N,BGEM-0089-N,
B083,B083_BGEM-0090-N,BGEM-0090-N,BGEM-0090-N,
B084,B084_BGEM-0094-S,BGEM-0094-S,BGEM-0094-S,
B085,B085_BGEM-0095-S,BGEM-0095-S,BGEM-0095-S,
B086,B086_BGEM-0097-S,BGEM-0097-S,BGEM-0097-S,
B087,B087_BGEM-0099-S,BGEM-0099-S,BGEM-0099-S,
B088,B088_BGEM-0100-S,BGEM-0100-S,BGEM-0100-S,
B089,B089_BGEM-0102-N,BGEM-0102-N,BGEM-0102-N,
B090,B090_BGEM-0107-N,BGEM-0107-N,BGEM-0107-N,
B091,B091_BGEM-0108-S,BGEM-0108-S,BGEM-0108-S,
B092,B092_BGEM-0110-N,BGEM-0110-N,BGEM-0110-N,
B093,B093_BGEM-0111-S,BGEM-0111-S,BGEM-0111-S,
B094,B094_BGEM-0112-S,BGEM-0112-S,BGEM-0112-S,
B095,B095_BGEM-0113-S,BGEM-0113-S,BGEM-0113-S,
B096,B096_BGEM-0114-S,BGEM-0114-S,BGEM-0114-S,
B097,B097_BGEM-0115-S,BGEM-0115-S,BGEM-0115-S,
B098,B098_BGEM-0116-S,BGEM-0116-S,BGEM-0116-S,
B099,B099_BGEM-0117-S,BGEM-0117-S,BGEM-0117-S,
B100,B100_BGEM-0118-S,BGEM-0118-S,BGEM-0118-S,
B101,B101_BGEM-0120-N,BGEM-0120-N,BGEM-0120-N,
B102,B102_BGEM-0122-N,BGEM-0122-N,BGEM-0122-N,
B103,B103_BGEM-0123-N,BGEM-0123-N,BGEM-0123-N,
B104,B104_BGEM-0124-N,BGEM-0124-N,BGEM-0124-N,
B105,B105_BGEM-0125-N,BGEM-0125-N,BGEM-0125-N,
B106,B106_BGEM-0126-N,BGEM-0126-N,BGEM-0126-N,
B107,B107_BGEM-0129-N,BGEM-0129-N,BGEM-0129-N,
B108,B108_BGEM-0130-N,BGEM-0130-N,BGEM-0130-N,
B109,B109_BGEM-0131-N,BGEM-0131-N,BGEM-0131-N,
B110,B110_BGEM-0133-S,BGEM-0133-S,BGEM-0133-S,
B111,B111_BGEM-0134-S,BGEM-0134-S,BGEM-0134-S,
B112,B112_BGEM-0136-S,BGEM-0136-S,BGEM-0136-S,
B113,B113_BGEM-0137-S,BGEM-0137-S,BGEM-0137-S,
B114,B114_BGEM-0138-S,BGEM-0138-S,BGEM-0138-S,
B115,B115_BGEM-0140-N,BGEM-0140-N,BGEM-0140-N,
B116,B116_BGEM-0141-N,BGEM-0141-N,BGEM-0141-N,
B117,B117_BGEM-0143-N,BGEM-0143-N,BGEM-0143-N,
B118,B118_BGEM-0144-N,BGEM-0144-N,BGEM-0144-N,
B119,B119_BGEM-0145-N,BGEM-0145-N,BGEM-0145-N,
B120,B120_BGEM-0146-N,BGEM-0146-N,BGEM-0146-N,
B121,B121_BGEM-0147-S,BGEM-0147-S,BGEM-0147-S,
B122,B122_BGEM-0148-S,BGEM-0148-S,BGEM-0148-S,
B123,B123_BGEM-0149-S,BGEM-0149-S,BGEM-0149-S,
B124,B124_BGEM-0150-S,BGEM-0150-S,BGEM-0150-S,
B125,B125_BGEM-0151-N,BGEM-0151-N,BGEM-0151-N,
B126,B126_BGEM-0152-N,BGEM-0152-N,BGEM-0152-N,
B127,B127_BGEM-0153-S,BGEM-0153-S,BGEM-0153-S,
B128,B128_BGEM-0154-S,BGEM-0154-S,BGEM-0154-S,
B129,B129_BGEM-0155-S,BGEM-0155-S,BGEM-0155-S,
B130,B130_BGEM-0156-S,BGEM-0156-S,BGEM-0156-S,
B131,B131_BGEM-0157-N,BGEM-0157-N,BGEM-0157-N,
B132,B132_BGEM-0158-S,BGEM-0158-S,BGEM-0158-S,
B133,B133_Control2,Control2,Control2,
B134,B134_BGEM-0159-S,BGEM-0159-S,BGEM-0159-S,
B135,B135_BGEM-0160-S,BGEM-0160-S,BGEM-0160-S,
B136,B136_BGEM-0162-S,BGEM-0162-S,BGEM-0162-S,
B137,B137_BGEM-0164-S,BGEM-0164-S,BGEM-0164-S,
B138,B138_BGEM-0165-S,BGEM-0165-S,BGEM-0165-S,
B139,B139_BGEM-0166-S,BGEM-0166-S,BGEM-0166-S,
B140,B140_BGEM-0167-S,BGEM-0167-S,BGEM-0167-S,
B141,B141_BGEM-0169-S,BGEM-0169-S,BGEM-0169-S,
B142,B142_BGEM-0170-S,BGEM-0170-S,BGEM-0170-S,
B143,B143_BGEM-0172-S,BGEM-0172-S,BGEM-0172-S,
B144,B144_BGEM-0173-S,BGEM-0173-S,BGEM-0173-S,
B145,B145_BGEM-0174-N,BGEM-0174-N,BGEM-0174-N,
B146,B146_BGEM-0175-S,BGEM-0175-S,BGEM-0175-S,
B147,B147_BGEM-0178-S,BGEM-0178-S,BGEM-0178-S,
B148,B148_BGEM-0179-S,BGEM-0179-S,BGEM-0179-S,
B149,B149_BGEM-0182-N,BGEM-0182-N,BGEM-0182-N,
B150,B150_BGEM-0184-N,BGEM-0184-N,BGEM-0184-N,
B151,B151_BGEM-0186-S,BGEM-0186-S,BGEM-0186-S,
B152,B152_BGEM-0187-S,BGEM-0187-S,BGEM-0187-S,
B153,B153_BGEM-0188-S,BGEM-0188-S,BGEM-0188-S,
B154,B154_BGEM-0190-N,BGEM-0190-N,BGEM-0190-N,
B155,B155_BGEM-0191-N,BGEM-0191-N,BGEM-0191-N,
B156,B156_BGEM-0192-N,BGEM-0192-N,BGEM-0192-N,
B157,B157_Control1,Control1,Control1,
B158,B158_BGEM-0193-N,BGEM-0193-N,BGEM-0193-N,
B159,B159_BGEM-0196-N,BGEM-0196-N,BGEM-0196-N,
B160,B160_BGEM-0197-S,BGEM-0197-S,BGEM-0197-S,
B161,B161_BGEM-0198-S,BGEM-0198-S,BGEM-0198-S,
B162,B162_BGEM-0199-S,BGEM-0199-S,BGEM-0199-S,
B163,B163_BGEM-0200-S,BGEM-0200-S,BGEM-0200-S,
B164,B164_BGEM-0201-N,BGEM-0201-N,BGEM-0201-N,
B165,B165_BGEM-0202-N,BGEM-0202-N,BGEM-0202-N,
B166,B166_BGEM-0203-N,BGEM-0203-N,BGEM-0203-N,
B167,B167_BGEM-0204-N,BGEM-0204-N,BGEM-0204-N,
B168,B168_BGEM-0205-N,BGEM-0205-N,BGEM-0205-N,
B169,B169_BGEM-0206-N,BGEM-0206-N,BGEM-0206-N,
B170,B170_BGEM-0207-N,BGEM-0207-N,BGEM-0207-N,
B171,B171_BGEM-0208-N,BGEM-0208-N,BGEM-0208-N,
B172,B172_BGEM-0209-N,BGEM-0209-N,BGEM-0209-N,
B173,B173_BGEM-0210-N,BGEM-0210-N,BGEM-0210-N,
B174,B174_BGEM-0211-N,BGEM-0211-N,BGEM-0211-N,
B175,B175_BGEM-0212-N,BGEM-0212-N,BGEM-0212-N,
B176,B176_BGEM-0213-S,BGEM-0213-S,BGEM-0213-S,
B177,B177_BGEM-0214-S,BGEM-0214-S,BGEM-0214-S,
B178,B178_BGEM-0215-N,BGEM-0215-N,BGEM-0215-N,
B179,B179_BGEM-0216-N,BGEM-0216-N,BGEM-0216-N,
B180,B180_BGEM-0217-S,BGEM-0217-S,BGEM-0217-S,
B181,B181_BGEM-0218-S,BGEM-0218-S,BGEM-0218-S,
B182,B182_BGEM-0219-S,BGEM-0219-S,BGEM-0219-S,
B183,B183_BGEM-0220-S,BGEM-0220-S,BGEM-0220-S,
B184,B184_BGEM-0221-S,BGEM-0221-S,BGEM-0221-S,
B185,B185_BGEM-0222-S,BGEM-0222-S,BGEM-0222-S,
B186,B186_BGEM-0223-N,BGEM-0223-N,BGEM-0223-N,
B187,B187_BGEM-0224-N,BGEM-0224-N,BGEM-0224-N,
B188,B188_BGEM-0225-N,BGEM-0225-N,BGEM-0225-N,
B189,B189_BGEM-0226-S,BGEM-0226-S,BGEM-0226-S,
B190,B190_BGEM-0227-N,BGEM-0227-N,BGEM-0227-N,
B191,B191_BGEM-0228-N,BGEM-0228-N,BGEM-0228-N,
B192,B192_BGEM-0229-N,BGEM-0229-N,BGEM-0229-N,
B193,B193_BGEM-0230-N,BGEM-0230-N,BGEM-0230-N,
B194,B194_BGEM-0231-N,BGEM-0231-N,BGEM-0231-N,
B195,B195_BGEM-0233-S,BGEM-0233-S,BGEM-0233-S,
B196,B196_BGEM-0235-N,BGEM-0235-N,BGEM-0235-N,
B197,B197_BGEM-0236-S,BGEM-0236-S,BGEM-0236-S,
B198,B198_BGEM-0237-N,BGEM-0237-N,BGEM-0237-N,
B199,B199_BGEM-0239-N,BGEM-0239-N,BGEM-0239-N,
B200,B200_BGEM-0240-N,BGEM-0240-N,BGEM-0240-N,
B201,B201_BGEM-0242-N,BGEM-0242-N,BGEM-0242-N,
B202,B202_BGEM-0243-S,BGEM-0243-S,BGEM-0243-S,
B203,B203_BGEM-0244-S,BGEM-0244-S,BGEM-0244-S,
B204,B204_BGEM-0246-N,BGEM-0246-N,BGEM-0246-N,
B205,B205_BGEM-0247-N,BGEM-0247-N,BGEM-0247-N,
B206,B206_BGEM-0248-N,BGEM-0248-N,BGEM-0248-N,
B207,B207_BGEM-0250-S,BGEM-0250-S,BGEM-0250-S,
B208,B208_Control2,Control2,Control2,
B209,B209_BGEM-0252-S,BGEM-0252-S,BGEM-0252-S,
B210,B210_BGEM-0253-N,BGEM-0253-N,BGEM-0253-N,
B211,B211_BGEM-0254-S,BGEM-0254-S,BGEM-0254-S,
B212,B212_BGEM-0255-S,BGEM-0255-S,BGEM-0255-S,
B213,B213_BGEM-0256-N,BGEM-0256-N,BGEM-0256-N,
B214,B214_BGEM-0257-S,BGEM-0257-S,BGEM-0257-S,
B215,B215_BGEM-0258-S,BGEM-0258-S,BGEM-0258-S,
B216,B216_BGEM-0259-N,BGEM-0259-N,BGEM-0259-N,
B217,B217_BGEM-0260-N,BGEM-0260-N,BGEM-0260-N,
B218,B218_BGEM-0261-S,BGEM-0261-S,BGEM-0261-S,
B219,B219_BGEM-0262-S,BGEM-0262-S,BGEM-0262-S,
B220,B220_BGEM-0263-S,BGEM-0263-S,BGEM-0263-S,
B221,B221_BGEM-0264-S,BGEM-0264-S,BGEM-0264-S,
B222,B222_BGEM-0266-S,BGEM-0266-S,BGEM-0266-S,
B223,B223_BGEM-0268-S,BGEM-0268-S,BGEM-0268-S,
B224,B224_BGEM-0269-S,BGEM-0269-S,BGEM-0269-S,
B225,B225_BGEM-0270-S,BGEM-0270-S,BGEM-0270-S,
B226,B226_BGEM-0272-S,BGEM-0272-S,BGEM-0272-S,
B227,B227_BGEM-0276-S,BGEM-0276-S,BGEM-0276-S,
B228,B228_BGEM-0277-S,BGEM-0277-S,BGEM-0277-S,
B229,B229_BGEM-0278-S,BGEM-0278-S,BGEM-0278-S,
B230,B230_BGEM-0279-S,BGEM-0279-S,BGEM-0279-S,
B231,B231_BGEM-0280-S,BGEM-0280-S,BGEM-0280-S,
B232,B232_BGEM-0281-N,BGEM-0281-N,BGEM-0281-N,
B233,B233_BGEM-0282-N,BGEM-0282-N,BGEM-0282-N,
B234,B234_BGEM-0283-N,BGEM-0283-N,BGEM-0283-N,
B235,B235_BGEM-0284-N,BGEM-0284-N,BGEM-0284-N,
B236,B236_BGEM-0285-N,BGEM-0285-N,BGEM-0285-N,
B237,B237_BGEM-0286-N,BGEM-0286-N,BGEM-0286-N,
B238,B238_BGEM-0287-N,BGEM-0287-N,BGEM-0287-N,
B239,B239_BGEM-0288-S,BGEM-0288-S,BGEM-0288-S,
B240,B240_BGEM-0289-N,BGEM-0289-N,BGEM-0289-N,
B241,B241_BGEM-0290-N,BGEM-0290-N,BGEM-0290-N,
B242,B242_BGEM-0291-N,BGEM-0291-N,BGEM-0291-N,
B243,B243_BGEM-0292-S,BGEM-0292-S,BGEM-0292-S,
B244,B244_BGEM-0293-N,BGEM-0293-N,BGEM-0293-N,
B245,B245_BGEM-0294-N,BGEM-0294-N,BGEM-0294-N,
B246,B246_BGEM-0295-S,BGEM-0295-S,BGEM-0295-S,
B247,B247_BGEM-0296-S,BGEM-0296-S,BGEM-0296-S,
B248,B248_BGEM-0297-N,BGEM-0297-N,BGEM-0297-N,
