UID,SLA_HN,LWC_HN,X..N_HN,X..P_HN,X..K_HN,X..S_HN,X..Ca_HN,X..Mg_HN,ppm.Zn_HN,ppm.Fe_HN,ppm.Mn_HN,ppm.Cu_HN,ppm.B_HN,ppm.Mo_HN,SLA_LN,LWC_LN,X..N_LN,X..P_LN,X..K_LN,X..S_LN,X..Ca_LN,X..Mg_LN,ppm.Zn_LN,ppm.Fe_LN,ppm.Mn_LN,ppm.Cu_LN,ppm.B_LN,ppm.Mo_LN
B297,167.981200749537,75.4943516006301,3.00757378534518,0.368057527703066,2.04707695519356,0.225034223206815,0.419599821240515,0.185940319365315,26.8000101295605,143.589930324013,46.1346450702908,10.3287332366768,12.8807818398323,0.962243689324455,176.265682749837,75.4095208303473,2.62467468454653,0.389378934492495,2.06910492277785,0.20267328864023,0.418229952184366,0.163901812576193,26.0650235198997,130.280323555265,33.3414223946902,8.92072060883276,12.2370092993028,1.20830244807411
B298,175.152944686805,75.1561879819277,3.26442656186997,0.369093409324423,1.84313226722275,0.240195659368744,0.422925722922712,0.202752699332985,29.3360646716567,139.999104274296,45.9881661327517,11.0592603988018,11.9462029333477,1.08285570690061,197.93697364032,75.4986364843521,2.78505904203,0.378647981297499,1.7581717458077,0.208789778174923,0.428542015459519,0.180731314275632,26.5236853489848,132.803408390581,33.6430903172666,9.29646883850095,12.1392830004959,1.20677737022738
B299,179.894210880143,76.3153579128004,3.09785294986164,0.374429637955931,2.05918094827158,0.23325230100539,0.428534916477374,0.192666013896474,28.1384169371913,136.941123599341,41.3449065974168,10.185240474199,12.1848554569409,1.00768932526084,179.877555226075,75.6923342858002,2.87189537627411,0.384398117827383,2.05778183012063,0.213458639090165,0.445544496582856,0.193520053966863,28.1400114471381,131.845441908245,35.1559040670568,9.28772814263159,12.6413028565216,0.946547787993238
B300,166.133734934883,74.8539546232535,3.26266362912301,0.377942776516999,1.87233906932942,0.239547180514068,0.526964802490075,0.214311735862592,30.1660488873972,137.734407382185,45.9280376589257,11.1666045839013,12.1490796864924,1.110706198711,174.842231750066,74.6614461721723,2.82350958211245,0.386255377425268,1.99586509799159,0.211189607672929,0.479876406277536,0.198077298869745,27.1186248238614,131.971572061975,33.9352838793838,9.23643788665396,12.8850251808276,1.15677374799374
B302,202.376803764372,76.7292109626794,3.2417337982103,0.37534211807246,2.00335478909048,0.226307620558158,0.393548012301859,0.215586196864596,26.8696282725599,138.84551153556,46.9708545975584,11.0820045538713,11.5899376147469,0.996294176650044,203.63452115668,76.0535211790283,2.93356588145879,0.378260825409933,1.93707989061099,0.207470176867527,0.340090652513711,0.185648328578957,25.7480184994323,131.970117581022,36.1659372483348,9.77200657133064,12.0630665175062,1.08249051839876
B303,179.206335901541,75.8392884073348,3.14689041478785,0.378534153506482,1.94517851980897,0.236285272848346,0.453079499521746,0.21359864010312,27.3739630289037,139.104687083534,42.7166113171146,10.7397046349746,12.2008837862644,1.12184977319815,183.835933647819,74.7506795730416,2.93430946096975,0.40816349937524,2.00648494847946,0.220976965116377,0.453110813087401,0.181575953039432,28.4059052326615,134.096546394615,36.3929980624268,9.22587505076025,13.5955760700781,1.14939764942828
B304,179.203987205838,76.9422658673425,3.04239639919888,0.392728793205496,2.19267891029559,0.235927576332301,0.449448140619988,0.211315264306188,27.5207260878333,140.860425069135,42.7234203625159,10.3920480039951,12.5694563760396,1.02258144474459,177.087981408105,74.9409294608722,2.79676727087707,0.386011057854398,1.99246904951716,0.208106412596043,0.434021026883678,0.185668160593187,26.9908235370821,131.368762642368,35.4106682055819,9.34655809622273,12.7121170935691,1.06032247919457
B305,167.586368944207,75.4624984128976,3.17364039506611,0.380831377894849,1.95670158612504,0.238437919371252,0.439886617005918,0.197136019140505,28.1274897546286,139.19799974199,42.3262207087795,10.6909122455425,12.0493815863271,1.1014097424673,179.807841035379,74.4609377243071,2.6778933967238,0.379958453348585,1.99047964218228,0.195192083487705,0.410411374332264,0.15808417389296,26.2063343088778,131.195296276117,34.5372738057064,8.70179755120956,12.1913929735289,1.20393255229207
B306,171.025150004015,76.0993339401754,3.04208889565153,0.397533355963159,2.08883030294832,0.236585516295595,0.525014019544166,0.221344602903627,28.2023087573608,133.183163725118,46.1730393718249,11.1339267443057,12.1231254254676,0.940640796615799,175.328700008964,75.8234104220473,2.77517264600165,0.396172597937812,2.14006154065899,0.212832640422573,0.495317024176498,0.19926003794498,26.8834095625605,130.371292083868,34.4054778917721,9.28612831956779,12.5202819967745,1.03190528018589
B307,189.187021310477,75.6583223403995,2.98242042097927,0.370624515738474,2.00244401969764,0.222337928849306,0.443970242943629,0.213217010848932,25.5942692485292,141.011117836177,45.5171793323628,10.3010925382871,13.5454910898826,1.10525371044132,189.425966536378,75.6346319461528,2.65648411479029,0.377778161644863,1.98659295063337,0.204696663704499,0.373601262679159,0.161698713474498,26.3017965662842,131.008988258804,29.8078775527466,8.42936508433276,12.9874003764155,1.17757796728279
B308,168.483399529363,74.9815451976391,3.23609835674613,0.383929159186714,2.02224229816703,0.233460014852131,0.416175582140793,0.187660950108331,29.0886403303024,136.823434208577,41.2881733173403,10.6373182415697,12.4102759417865,0.982693710857838,189.136670409771,75.1907444744847,2.89601667549524,0.377904065099629,1.91505760452292,0.21125783787489,0.439865038616226,0.183236047793669,26.5237001000223,132.256092614254,35.5073274288112,9.56141209496556,12.0249880455313,1.14336244935912
B309,174.972908770806,74.4723664871237,3.01738797498424,0.375635967676674,1.85285170612617,0.231268288462123,0.452387687492439,0.206215154302523,30.3481789061895,136.052308201642,49.4427546106998,10.9800045242738,11.8776584996599,1.07131252346278,188.950778746015,75.1868556538324,2.77209615396796,0.373751417085961,1.92984685049253,0.20927083523048,0.382767945173924,0.152719122391129,27.6151916903526,132.299987733747,36.2375484347331,9.04283884258289,12.6868733140699,1.05839131914749
B310,166.43734751606,75.4737215931429,2.83777589523253,0.386171906849179,1.98416385879313,0.225127618343575,0.444901147214792,0.212814396335448,29.7381628457022,133.670047891697,44.0637245488058,10.3803892404496,12.1008625784339,1.09755298655646,186.25443468042,75.8146018308502,2.58499004234751,0.388068092502327,2.16965594349761,0.199344962024057,0.4412573060044,0.184814512169553,26.0485663719652,130.53022556014,35.6139377924469,8.63204828455317,12.5140890542319,1.07713301206651
