"bands","Trt","H2"
"X563","HN",0.573237300924365
"X564","HN",0.570808234115555
"X565","HN",0.568237722579969
"X566","HN",0.565444137097857
"X567","HN",0.562480256365874
"X568","HN",0.55928087512665
"X569","HN",0.555932553537841
"X570","HN",0.552455725525394
"X571","HN",0.548909075985206
"X572","HN",0.545453831503038
"X573","HN",0.541519498478157
"X574","HN",0.537612100603067
"X575","HN",0.534036376182715
"X576","HN",0.53053794884523
"X577","HN",0.527308297467499
"X578","HN",0.524196252918914
"X579","HN",0.52142597830717
"X580","HN",0.518517006568849
"X581","HN",0.51570138919088
"X582","HN",0.513298445660994
"X583","HN",0.510753658085472
"X584","HN",0.50871084358634
"X585","HN",0.506858348206196
"X586","HN",0.504860648044895
"X587","HN",0.503565594085707
"X588","HN",0.502193679000089
"X589","HN",0.500794889913989
"X590","HN",0.499602638859239
"X591","HN",0.498605288381975
"X592","HN",0.497917444676281
"X593","HN",0.497323750961474
"X594","HN",0.496699988568364
"X595","HN",0.495825012400715
"X596","HN",0.495058693952513
"X597","HN",0.494767636487973
"X598","HN",0.49435275721265
"X599","HN",0.493568667544534
"X600","HN",0.492445841467771
"X601","HN",0.491147990904756
"X602","HN",0.489944688220143
"X603","HN",0.488614817851555
"X604","HN",0.486819064874932
"X605","HN",0.484650834594737
"X606","HN",0.482667014479976
"X607","HN",0.480346287492149
"X608","HN",0.477122645367273
"X609","HN",0.474130379553793
"X610","HN",0.471144830341307
"X611","HN",0.468083996690069
"X612","HN",0.465090623464833
"X613","HN",0.462005645100448
"X614","HN",0.458885873689551
"X615","HN",0.456091632799337
"X616","HN",0.453406858031606
"X617","HN",0.450768299733348
"X618","HN",0.448333377425946
"X619","HN",0.446259040358666
"X620","HN",0.444406247248721
"X621","HN",0.442762111051606
"X622","HN",0.441270463082329
"X623","HN",0.440058158935475
"X624","HN",0.439043920896348
"X625","HN",0.438276587895823
"X626","HN",0.437515516560095
"X627","HN",0.437256425702691
"X628","HN",0.437045895483694
"X629","HN",0.436478220824256
"X630","HN",0.43611631608271
"X631","HN",0.436121093523053
"X632","HN",0.436252602096297
"X633","HN",0.436558362767296
"X634","HN",0.43664720117672
"X635","HN",0.436638961816024
"X636","HN",0.436419556499408
"X637","HN",0.43589034163923
"X638","HN",0.435122375072725
"X639","HN",0.434376815937929
"X640","HN",0.433666273703162
"X641","HN",0.432226395857771
"X642","HN",0.430784132585719
"X643","HN",0.42912370298942
"X644","HN",0.427102892740166
"X645","HN",0.424679867373914
"X646","HN",0.422197042545002
"X647","HN",0.419580714228993
"X648","HN",0.416749575321788
"X649","HN",0.413678172636312
"X650","HN",0.410814209359799
"X651","HN",0.40795016190577
"X652","HN",0.404793602472323
"X653","HN",0.401898328104126
"X654","HN",0.398728509935118
"X655","HN",0.396165255533409
"X656","HN",0.390756878752402
"X657","HN",0.386592929018906
"X658","HN",0.382099501751427
"X659","HN",0.377502241247894
"X660","HN",0.372642085686178
"X661","HN",0.367487499573523
"X662","HN",0.362590061733741
"X663","HN",0.357243584412975
"X664","HN",0.351980196125152
"X665","HN",0.34728612285641
"X666","HN",0.342580851833213
"X667","HN",0.337498651130063
"X668","HN",0.33264553964266
"X669","HN",0.328114996886369
"X670","HN",0.323980336369557
"X671","HN",0.319816832392618
"X672","HN",0.316107758724557
"X673","HN",0.3128164087915
"X674","HN",0.309727298706503
"X675","HN",0.306826414564644
"X676","HN",0.304148169248761
"X677","HN",0.302340218374152
"X678","HN",0.300201361116497
"X679","HN",0.298425105239319
"X680","HN",0.297861422786074
"X681","HN",0.297570065428854
"X682","HN",0.29858870378095
"X683","HN",0.301108217617982
"X684","HN",0.304615342778941
"X685","HN",0.310198925454078
"X686","HN",0.317118506309919
"X687","HN",0.324829725124051
"X688","HN",0.333454868667085
"X689","HN",0.34278511402637
"X690","HN",0.353071580387428
"X691","HN",0.363658486272229
"X692","HN",0.374935022736785
"X693","HN",0.386862755039035
"X694","HN",0.399873169075717
"X695","HN",0.414529841161926
"X696","HN",0.430614558332404
"X697","HN",0.447538469466431
"X698","HN",0.465061135455203
"X699","HN",0.483023967766899
"X700","HN",0.501093123705792
"X701","HN",0.518455838266525
"X702","HN",0.534782284233938
"X703","HN",0.54999435391957
"X704","HN",0.563757137780187
"X705","HN",0.576145246279828
"X706","HN",0.587164567742649
"X707","HN",0.596939518882797
"X708","HN",0.605591079229103
"X709","HN",0.613247153905725
"X710","HN",0.61979229470302
"X711","HN",0.625286575719187
"X712","HN",0.629798564450861
"X713","HN",0.633425101171169
"X714","HN",0.636166025159181
"X715","HN",0.637938736682821
"X716","HN",0.638949318786584
"X717","HN",0.639142511809298
"X718","HN",0.638281322861814
"X719","HN",0.636524488712785
"X720","HN",0.633806767082864
"X721","HN",0.629968416531739
"X722","HN",0.624985138431435
"X723","HN",0.618741241944422
"X724","HN",0.611334106271076
"X725","HN",0.602667693693207
"X726","HN",0.592483687388639
"X727","HN",0.580637173038484
"X728","HN",0.567195544860644
"X729","HN",0.552200675041743
"X730","HN",0.535354985095929
"X731","HN",0.51683176124691
"X732","HN",0.496732512144769
"X733","HN",0.475038753325221
"X734","HN",0.451953427576643
"X735","HN",0.42782443772567
"X736","HN",0.402858398595642
"X737","HN",0.377330718518333
"X738","HN",0.351870262964754
"X739","HN",0.326625845132658
"X740","HN",0.301994261724406
"X741","HN",0.278257587567087
"X742","HN",0.255955061688265
"X743","HN",0.235137080379773
"X744","HN",0.21578535677121
"X745","HN",0.198627702533824
"X746","HN",0.183510616332645
"X747","HN",0.170420532205623
"X748","HN",0.159238796206819
"X749","HN",0.150058349293197
"X750","HN",0.14252558503556
"X751","HN",0.136345701161577
"X752","HN",0.131828457603581
"X753","HN",0.128462618909059
"X754","HN",0.12589149358181
"X755","HN",0.124211046880268
"X756","HN",0.123289944655366
"X757","HN",0.122531721703505
"X758","HN",0.122115333888138
"X759","HN",0.122032058774192
"X760","HN",0.122182830312333
"X761","HN",0.122369106515492
"X762","HN",0.12262895176798
"X763","HN",0.123148164019825
"X764","HN",0.12360572014618
"X765","HN",0.123903840650653
"X766","HN",0.124255653820383
"X767","HN",0.124876259174481
"X768","HN",0.125226495173062
"X769","HN",0.125591872182762
"X770","HN",0.12585197104967
"X771","HN",0.126121999591771
"X772","HN",0.126183162100778
"X773","HN",0.12644270370441
"X774","HN",0.12689989296763
"X775","HN",0.12736270447505
"X776","HN",0.127506412566848
"X777","HN",0.127687753038187
"X778","HN",0.128095270012892
"X779","HN",0.128166033152526
"X780","HN",0.128110442057707
"X781","HN",0.128137307150421
"X782","HN",0.128368781679368
"X783","HN",0.128536653141841
"X784","HN",0.128716738524733
"X785","HN",0.128752770194921
"X786","HN",0.129037690004942
"X787","HN",0.129257673001601
"X788","HN",0.129317479233205
"X789","HN",0.129284510955462
"X790","HN",0.129282473259464
"X791","HN",0.129231194088556
"X792","HN",0.129164589741539
"X793","HN",0.129183839263715
"X794","HN",0.129488516958934
"X795","HN",0.129586856906526
"X796","HN",0.129502912617859
"X797","HN",0.129410493044815
"X798","HN",0.129611585671285
"X799","HN",0.129691892292966
"X800","HN",0.129617442036972
"X801","HN",0.129624482309225
"X802","HN",0.129562536807219
"X803","HN",0.129566597748936
"X804","HN",0.129617097856234
"X805","HN",0.129584776204747
"X806","HN",0.129723976850989
"X807","HN",0.129853986776817
"X808","HN",0.129662473727008
"X809","HN",0.129568667829723
"X810","HN",0.129603301949204
"X811","HN",0.12984643252074
"X812","HN",0.129898183618442
"X813","HN",0.129762907600256
"X814","HN",0.129849127856421
"X815","HN",0.130040440508218
"X816","HN",0.13004330863357
"X817","HN",0.129762184289576
"X818","HN",0.1295096723719
"X819","HN",0.12973712264604
"X820","HN",0.129854902121548
"X821","HN",0.129875737913308
"X822","HN",0.129941970762275
"X823","HN",0.130140796538801
"X824","HN",0.130272771152316
"X825","HN",0.130181271097002
"X826","HN",0.13006511650134
"X827","HN",0.130004730759197
"X828","HN",0.130097566980158
"X829","HN",0.130131499361467
"X830","HN",0.130090847723282
"X831","HN",0.130337428531587
"X832","HN",0.130565863449282
"X833","HN",0.130573215979086
"X834","HN",0.130404894448258
"X835","HN",0.130435994945466
"X836","HN",0.130666830892659
"X837","HN",0.130831501213034
"X838","HN",0.130838197247778
"X839","HN",0.13081677655172
"X840","HN",0.130899808956045
"X841","HN",0.131051314429354
"X842","HN",0.131082655566304
"X843","HN",0.131136119376307
"X844","HN",0.131127067833418
"X845","HN",0.131145624992972
"X846","HN",0.131349474734784
"X847","HN",0.131481927506204
"X848","HN",0.131497726640284
"X849","HN",0.131555251268097
"X850","HN",0.131507588195258
"X851","HN",0.131663412461603
"X852","HN",0.1318473129412
"X853","HN",0.13183041333026
"X854","HN",0.131968735878766
"X855","HN",0.132028788526705
"X856","HN",0.132122431707391
"X857","HN",0.132193099139874
"X858","HN",0.132170143695838
"X859","HN",0.132208758698852
"X860","HN",0.132406034888466
"X861","HN",0.132471168606862
"X862","HN",0.132384925375546
"X863","HN",0.132441195883964
"X864","HN",0.132684624110458
"X865","HN",0.132753237114673
"X866","HN",0.132552042808947
"X867","HN",0.132518159360442
"X868","HN",0.132671801790309
"X869","HN",0.132656716727678
"X870","HN",0.132674404433582
"X871","HN",0.132653726318287
"X872","HN",0.132518076973722
"X873","HN",0.132517903679096
"X874","HN",0.132753651324799
"X875","HN",0.132792615472386
"X876","HN",0.1326599419133
"X877","HN",0.13271803780662
"X878","HN",0.132843113674218
"X879","HN",0.1328656465771
"X880","HN",0.13284441184426
"X881","HN",0.132790024348685
"X882","HN",0.133009870154007
"X883","HN",0.133019080990487
"X884","HN",0.132712807213089
"X885","HN",0.133186825877717
"X886","HN",0.133309776678125
"X887","HN",0.133005911386746
"X888","HN",0.132762933917988
"X889","HN",0.132804676330911
"X890","HN",0.132845212028075
"X891","HN",0.132859921522042
"X892","HN",0.132988342471498
"X893","HN",0.132950134751638
"X894","HN",0.132908249738204
"X895","HN",0.132994511327374
"X896","HN",0.133071590310353
"X897","HN",0.133156092786517
"X898","HN",0.133202022595387
"X899","HN",0.133233013317811
"X900","HN",0.13300844297962
"X901","HN",0.132972615688004
"X902","HN",0.13289669602362
"X903","HN",0.132763659090269
"X904","HN",0.132931504486012
"X905","HN",0.13295058534441
"X906","HN",0.13298461840807
"X907","HN",0.132921155551749
"X908","HN",0.133005989581491
"X909","HN",0.132917656132055
"X910","HN",0.13292983799177
"X911","HN",0.13286152877325
"X912","HN",0.132726123134743
"X913","HN",0.132792530873618
"X914","HN",0.132977550713239
"X915","HN",0.132949838916487
"X916","HN",0.132785460016933
"X917","HN",0.132858931812455
"X918","HN",0.133002999759727
"X919","HN",0.133096941230219
"X920","HN",0.132957391635317
"X921","HN",0.132893387197766
"X922","HN",0.132824157261348
"X923","HN",0.132752185041846
"X924","HN",0.132973650958986
"X925","HN",0.133029626261378
"X926","HN",0.132822975886185
"X927","HN",0.13271671348176
"X928","HN",0.13273363655273
"X929","HN",0.133051806915825
"X930","HN",0.133124624768229
"X931","HN",0.133056425167753
"X932","HN",0.133016867489318
"X933","HN",0.132632177971142
"X934","HN",0.132421755878786
"X935","HN",0.132693132341999
"X936","HN",0.132852051605869
"X937","HN",0.13267165266296
"X938","HN",0.132313201523375
"X939","HN",0.132010138453778
"X940","HN",0.132168525061788
"X941","HN",0.13246677352781
"X942","HN",0.132511807922798
"X943","HN",0.132384865449323
"X944","HN",0.132332720333125
"X945","HN",0.132487034356085
"X946","HN",0.132417729943833
"X947","HN",0.132379549478951
"X948","HN",0.132429608688881
"X949","HN",0.132295631825228
"X950","HN",0.131990512311713
"X951","HN",0.132016067527319
"X952","HN",0.131804766436458
"X953","HN",0.131835629574868
"X954","HN",0.1320052786199
"X955","HN",0.131909488226974
"X956","HN",0.131989908923005
"X957","HN",0.131988561941599
"X958","HN",0.132031431616626
"X959","HN",0.131979029750048
"X960","HN",0.131925862566085
"X961","HN",0.13198753475162
"X962","HN",0.132184523130896
"X963","HN",0.131880787801999
"X964","HN",0.131983275868531
"X965","HN",0.132267172678503
"X966","HN",0.132166723455612
"X967","HN",0.13208410726771
"X968","HN",0.132319517419088
"X969","HN",0.132255539948822
"X970","HN",0.132021790046369
"X971","HN",0.132431198313034
"X972","HN",0.132403887482408
"X973","HN",0.131801764161589
"X974","HN",0.131987358058014
"X975","HN",0.131845809176094
"X976","HN",0.131855309935718
"X977","HN",0.13216799329951
"X978","HN",0.132301589328446
"X979","HN",0.13189678970901
"X980","HN",0.131737594033517
"X981","HN",0.132171046648818
"X982","HN",0.132536121757814
"X983","HN",0.132030827707467
"X984","HN",0.131967657297542
"X985","HN",0.132289302167402
"X986","HN",0.131937414617546
"X987","HN",0.131969049544667
"X988","HN",0.132037191390518
"X989","HN",0.131824032118551
"X990","HN",0.131945114094985
"X991","HN",0.132019168081098
"X992","HN",0.131949052379885
"X993","HN",0.132302661748693
"X994","HN",0.132333506439329
"X995","HN",0.132209150661841
"X996","HN",0.132819141853997
"X997","HN",0.132640661496658
"X998","HN",0.13236630950556
"X999","HN",0.132236863346437
"X1000","HN",0.132186875167078
"X1001","HN",0.121278494148079
"X1002","HN",0.121570106320404
"X1003","HN",0.121671270798568
"X1004","HN",0.121772628469663
"X1005","HN",0.121618023975335
"X1006","HN",0.121408788495955
"X1007","HN",0.121392893431555
"X1008","HN",0.121245779246574
"X1009","HN",0.121163907829016
"X1010","HN",0.121125514006308
"X1011","HN",0.121036300265495
"X1012","HN",0.120823579858605
"X1013","HN",0.120888797184339
"X1014","HN",0.121014125836941
"X1015","HN",0.121075797044182
"X1016","HN",0.121066016030455
"X1017","HN",0.121169650839113
"X1018","HN",0.121222280346848
"X1019","HN",0.121088685634919
"X1020","HN",0.12115195063333
"X1021","HN",0.121228672649883
"X1022","HN",0.121180935091274
"X1023","HN",0.12132512924385
"X1024","HN",0.121357895175183
"X1025","HN",0.121332785743449
"X1026","HN",0.121229218567099
