,UID,genotype,CHL
125,B144,BGEM-0173-S,311.51018389582197
126,B145,BGEM-0174-N,347.382299639143
127,B146,BGEM-0175-S,331.777078015854
128,B147,BGEM-0178-S,398.22809594024903
129,B148,BGEM-0179-S,401.305158931137
130,B149,BGEM-0182-N,326.381739191386
131,B150,BGEM-0184-N,371.98523219967103
132,B151,BGEM-0186-S,345.333151346855
133,B152,BGEM-0187-S,386.34305729789594
134,B153,BGEM-0188-S,391.175985911444
135,B154,BGEM-0190-N,403.174616172316
136,B155,BGEM-0191-N,276.88290268306304
137,B160,BGEM-0197-S,432.554747416576
138,B161,BGEM-0198-S,392.596534523521
139,B162,BGEM-0199-S,362.044711993769
140,B163,BGEM-0200-S,360.303785282879
141,B165,BGEM-0202-N,328.94335448278196
142,B169,BGEM-0206-N,385.419480369166
143,B170,BGEM-0207-N,425.83727592301597
144,B171,BGEM-0208-N,379.57080592055297
145,B173,BGEM-0210-N,425.39518231438797
146,B175,BGEM-0212-N,323.198929731067
147,B176,BGEM-0213-S,287.48291596514304
148,B177,BGEM-0214-S,375.828274980951
149,B180,BGEM-0217-S,353.277882118417
150,B181,BGEM-0218-S,416.26314969206396
151,B182,BGEM-0219-S,416.20962592533203
152,B183,BGEM-0220-S,412.559093797548
153,B185,BGEM-0222-S,352.59648174361297
154,B186,BGEM-0223-N,329.128885895653
155,B187,BGEM-0224-N,330.930842697962
156,B188,BGEM-0225-N,340.939306052926
157,B189,BGEM-0226-S,393.894184301871
158,B190,BGEM-0227-N,336.101403823842
159,B191,BGEM-0228-N,343.753798313964
160,B194,BGEM-0231-N,305.845624858862
161,B195,BGEM-0233-S,370.87855810189103
162,B197,BGEM-0236-S,363.605297700289
163,B198,BGEM-0237-N,352.422401831159
164,B201,BGEM-0242-N,443.588872286313
165,B202,BGEM-0243-S,446.065473374868
166,B204,BGEM-0246-N,315.993763889924
167,B205,BGEM-0247-N,314.024276498565
168,B206,BGEM-0248-N,418.09792003416
169,B207,BGEM-0250-S,364.778381900245
170,B209,BGEM-0252-S,365.171412208384
171,B210,BGEM-0253-N,358.046540153969
172,B211,BGEM-0254-S,372.546038624228
173,B212,BGEM-0255-S,325.351552500855
174,B214,BGEM-0257-S,325.069733338277
175,B215,BGEM-0258-S,376.55085983311096
176,B225,BGEM-0270-S,372.321754287486
177,B226,BGEM-0272-S,425.09862336739405
178,B231,BGEM-0280-S,396.67778626201004
179,B236,BGEM-0285-N,326.663132658047
180,B238,BGEM-0287-N,346.954764987693
181,B239,BGEM-0288-S,357.530833231707
182,B243,BGEM-0292-S,352.739455104498
183,B246,BGEM-0295-S,388.117604811709
184,B247,BGEM-0296-S,434.780416481597
185,B248,BGEM-0297-N,387.70085364726
186,B251,BGEM-0300-S,312.084725221863
187,B252,BGEM-0301-S,266.328127109322
188,B254,BGEM-0302-S,368.238592745221
189,B257,BGEM-0305-S,323.115696829319
190,B259,BGEM-0307-S,380.85385646347
191,B261,BGEM-0309-S,356.56796748645104
192,B262,BGEM-0310-S,426.78536826342105
193,B265,BGEM-0313-S,386.86308081025004
194,B267,BGEM-0315-S,430.96971427220495
195,B268,BGEM-0316-S,316.940655295478
196,B273,BGEM-0321-S,404.55749530285004
197,B274,BGEM-0322-S,363.763797135126
198,B276,BGEM-0324-N,328.841375613874
199,B277,BGEM-0325-N,377.985110183449
200,B280,BGEM-0328-S,355.86024089592
201,B283,BGEM-0101-S,396.120310328357
202,B287,BGEM-0171-S,442.999048290326
203,B292,BGEM-0106-N,341.924268113055
204,B297,BGEM-0238-N,323.743635703139
205,B298,BGEM-0053-S,399.85433495741796
206,B299,BGEM-0245-S,396.1576764131
207,B300,BGEM-0084-S,423.540378297007
208,B302,BGEM-0058-N,283.838052944226
209,B303,BGEM-0109-N,362.483124531831
210,B304,BGEM-0029-S,349.959279612736
211,B305,BGEM-0105-N,386.39453247342993
212,B306,BGEM-0168-S,357.200164888833
213,B307,BGEM-0183-N,273.976937333801
214,B308,BGEM-0163-S,379.743450611584
215,B309,BGEM-0076-S,375.062089548051
216,B310,BGEM-0180-S,317.665744080104
217,B311,BGEM-0181-N,339.774203453889
218,B312,BGEM-0121-N,267.02516892197
219,B313,BGEM-0251-S,337.420197953203
220,B314,BGEM-0189-S,281.046377165833
221,B315,BGEM-0249-N,333.227157618025
