"","genotype","CHL_blups_HN","CHL_blups_LN"
"485","BGEM-0312-S",352.08085011515,321.802318090948
"486","BGEM-0313-S",389.012432415535,346.690478664314
"487","BGEM-0314-S",419.865616856663,294.03905088888
"488","BGEM-0315-S",467.448510526357,339.265585830374
"489","BGEM-0316-S",352.891697292487,319.464671674833
"490","BGEM-0317-S",441.637027112202,331.438243848018
"491","BGEM-0318-S",413.632537066517,308.955517968066
"492","BGEM-0319-S",428.692379092968,326.435829592901
"493","BGEM-0320-N",413.315509605406,336.613954255269
"494","BGEM-0321-S",479.829410226808,315.24257603896
"495","BGEM-0322-S",407.212002433688,320.079389509206
"496","BGEM-0323-S",422.044968444331,356.9267392192
"497","BGEM-0324-N",365.325315739871,321.124190369852
"498","BGEM-0325-N",434.05489071904,319.07644476755
"499","BGEM-0326-N",368.968150414968,317.179023091978
"500","BGEM-0327-N",377.777628327203,310.660575914268
"501","BGEM-0328-S",393.757411867502,322.664727280909
"502","LH109 X LH123",411.705290582529,299.683601364416
"503","LH109 X LH59",441.481633335469,339.271915630294
"504","LH123 X LH59",403.757944668848,323.858920230354
"505","LH123 X PHG50",439.683691441976,343.389446284381
"506","LH132 X B73",445.587041891619,348.233053217594
"507","LH74 X LH123",477.39719715085,343.302792715955
"508","Mo17",405.167399630248,340.121024043056
"509","PHB47 X PHK29",478.062405832306,335.069339197468
"510","PHB47 X PHW52",384.982640914013,310.856244081151
"511","PHG47 X PHZ51",450.131035449469,300.283078436342
"512","PHG86 X B73",477.060014794503,323.239962989095
"513","PHG86 X LHB2",462.841555710248,316.9683279199
"514","PHG86 X PHW52",449.14533001971,318.292394743572
"515","PHG89 X PHW52",472.568011723341,321.203510757529
"516","PHJ40 X PHW52",430.489851073867,303.871050758366
"517","PHK29 X PHW52",445.685253269621,328.98442896204
"518","PHZ51 X LH123",345.545787796988,315.102476923589
