"","genotype","CHL_blups_HN","CHL_blups_LN"
"110","BGEM-0063-N",417.949927289577,315.454151328534
"111","BGEM-0063-N X B73",420.098733822355,326.178208347062
"112","BGEM-0064-N",316.495102787285,315.323501387748
"113","BGEM-0064-N X B73",463.772039703987,317.572120106945
"114","BGEM-0065-N",403.360660663934,323.265181808942
"115","BGEM-0066-N",438.003442262515,347.500307779695
"116","BGEM-0067-S",433.339498669876,327.921484952296
"117","BGEM-0068-S",504.245270459294,337.983082113548
"118","BGEM-0068-S X Mo17",483.100437775772,316.116789821041
"119","BGEM-0069-S",446.973335949877,311.974744011816
"120","BGEM-0070-S",430.950877498271,328.658716966576
"121","BGEM-0070-S X Mo17",442.126284291044,321.297997240804
"122","BGEM-0071-S",422.600148082423,337.649677433924
"123","BGEM-0071-S X Mo17",469.660409532435,328.868707828094
"124","BGEM-0072-S",432.514797121326,339.971404416139
"125","BGEM-0072-S X Mo17",417.990391296942,305.806357578319
"126","BGEM-0073-S",411.496813162771,312.26785499409
"127","BGEM-0073-S X Mo17",477.144620207494,367.311365201337
"128","BGEM-0074-S",494.734569915424,320.435168810637
"129","BGEM-0075-S",371.885450725765,320.506179750914
"130","BGEM-0075-S X Mo17",430.165131258452,315.271298039124
"131","BGEM-0076-S",410.663780317018,330.169164299967
"132","BGEM-0076-S X Mo17",475.725523955019,317.757192733982
"133","BGEM-0077-S",481.041152301682,352.346920622139
"134","BGEM-0077-S X Mo17",480.589411445498,329.883717196317
"135","BGEM-0078-N",352.597228391847,325.109652063468
"136","BGEM-0078-S",354.386202419672,345.021154560819
"137","BGEM-0078-S X Mo17",477.148535516108,314.073386663964
"138","BGEM-0079-S",433.922251888889,341.590664551447
"139","BGEM-0079-S X Mo17",494.045056405026,310.399665594624
"140","BGEM-0080-S",436.595922017124,337.216096289883
"141","BGEM-0081-S",465.229151871306,343.292579173946
"142","BGEM-0081-S X Mo17",466.074124224597,317.68506239874
"143","BGEM-0082-S",472.022422628509,345.754993854366
"144","BGEM-0082-S X Mo17",504.057110937054,341.23144397671
"145","BGEM-0083-S",416.20428540661,326.379962724937
"146","BGEM-0083-S X Mo17",471.555281686687,311.127962821631
"147","BGEM-0084-S",453.934104337721,340.605367599123
"148","BGEM-0084-S X Mo17",479.50053207635,324.265214514061
"149","BGEM-0085-N",440.322143508794,322.915156714781
"150","BGEM-0085-N X B73",460.90726440889,310.409095286262
"151","BGEM-0086-N",415.763245204383,319.311358454691
"152","BGEM-0086-N X B73",451.931563638613,317.602192359428
"153","BGEM-0087-N",436.652864873693,346.753814520201
"154","BGEM-0087-N X B73",450.458794912494,364.40271358761
"155","BGEM-0088-N",409.284429867397,314.916475858794
"156","BGEM-0088-N X B73",481.048752248503,330.6979087294
"157","BGEM-0089-N",434.735430224531,307.009083201167
"158","BGEM-0089-N X B73",494.925747393977,325.255953738529
"159","BGEM-0090-N",403.510983686346,317.902190001093
"160","BGEM-0091-N",322.919430902212,308.407259659603
"161","BGEM-0091-N X B73",456.522331828621,311.281509848315
"162","BGEM-0092-S",442.323045933619,329.258311752743
"163","BGEM-0092-S X Mo17",429.500331538376,326.926563829377
"164","BGEM-0094-S",440.96438888161,324.890099734341
"165","BGEM-0094-S X Mo17",473.889968452187,300.142196923436
"166","BGEM-0095-S",449.77229005609,343.342546727918
"167","BGEM-0097-S",423.063840062756,334.021810708495
"168","BGEM-0098-S",427.299206689391,329.384460117227
"169","BGEM-0098-S X Mo17",488.627331173711,317.937657535596
"170","BGEM-0099-S",432.068520013966,359.065913033389
"171","BGEM-0100-S",393.427527301946,311.990692270995
"172","BGEM-0101-S",435.075749145968,330.685015113043
"173","BGEM-0101-S X Mo17",480.039801456179,314.496624559562
"174","BGEM-0102-N",411.701543091875,323.869763442434
"175","BGEM-0102-N X B73",475.684135610847,314.460041892744
"176","BGEM-0103-N",368.835748114137,300.898733621304
"177","BGEM-0103-N X B73",437.145493933271,305.737396430722
"178","BGEM-0105-N",448.761354655495,316.065325098263
"179","BGEM-0105-N X B73",506.574109614106,297.268318404623
"180","BGEM-0106-N",379.18694606544,313.208723730692
"181","BGEM-0107-N",403.530420980913,338.911203064569
"182","BGEM-0107-N X B73",493.256153739389,311.970442196856
"183","BGEM-0108-S",385.931062999671,311.88443844785
