"genotype","CHL"
"BGEM-0091-N X B73",293.036228295536
"BGEM-0092-S",344.061038048258
"BGEM-0092-S X Mo17",337.442675404358
"BGEM-0094-S",331.662437430448
"BGEM-0094-S X Mo17",222.856401629484
"BGEM-0095-S",384.037303790164
"BGEM-0097-S",357.581609130185
"BGEM-0098-S",344.419093743185
"BGEM-0098-S X Mo17",311.928836181806
"BGEM-0099-S",428.666030227397
"BGEM-0100-S",278.268726552334
"BGEM-0101-S",348.110549631015
"BGEM-0101-S X Mo17",302.161912460422
"BGEM-0102-N",328.766345819986
"BGEM-0102-N X B73",302.058077327535
"BGEM-0103-N",263.566070894633
"BGEM-0103-N X B73",277.299984781022
"BGEM-0105-N",306.614464531238
"BGEM-0105-N X B73",253.261610360475
"BGEM-0106-N",298.506373776576
"BGEM-0107-N",371.459512224487
"BGEM-0107-N X B73",294.991672996081
"BGEM-0108-S",294.74756256118
"BGEM-0108-S X Mo17",319.15024257378
"BGEM-0109-N",351.383727085069
"BGEM-0109-N X B73",286.914466959718
"BGEM-0110-N",417.097618449525
"BGEM-0110-N X B73",321.279146625833
"BGEM-0111-S",380.319041160856
"BGEM-0111-S X Mo17",317.200183546171
"BGEM-0112-S",379.814880747257
"BGEM-0112-S X Mo17",281.669408027004
"BGEM-0113-S",296.825457235318
"BGEM-0113-S X Mo17",339.132304133191
"BGEM-0114-S",413.598442243201
"BGEM-0114-S X Mo17",349.883662767445
"BGEM-0115-S",369.30307117991
"BGEM-0115-S X Mo17",331.329768595539
"BGEM-0116-S",400.140388011284
"BGEM-0116-S X Mo17",302.969658400662
"BGEM-0117-S",478.958653525946
"BGEM-0117-S X Mo17",307.384853320995
"BGEM-0118-S",456.547415327522
"BGEM-0118-S X Mo17",294.667673373464
"BGEM-0120-N",379.583590940267
"BGEM-0121-N",262.793498501096
"BGEM-0121-N X B73",337.492913022264
"BGEM-0122-N",299.051981206188
"BGEM-0122-N X B73",276.347989294032
"BGEM-0123-N",268.659189288631
"BGEM-0123-N X B73",307.633333333367
"BGEM-0124-N",328.78357095524
"BGEM-0124-N X B73",337.251031190174
"BGEM-0125-N",296.529004124707
"BGEM-0125-N X B73",296.124818696832
"BGEM-0126-N",292.140973680467
"BGEM-0126-N X B73",390.449417914764
"BGEM-0127-N",294.543691299636
"BGEM-0127-N X B73",401.301977063581
"BGEM-0129-N",316.895203095858
"BGEM-0129-N X B73",362.361210804229
"BGEM-0130-N",309.615925379639
"BGEM-0130-N X B73",301.826653017744
"BGEM-0131-N",351.632117434349
"BGEM-0131-N X B73",354.44877315802
"BGEM-0133-S",363.387326062006
"BGEM-0134-S",270.675527935087
"BGEM-0134-S X Mo17",304.196968221065
"BGEM-0136-S",340.66411109179
"BGEM-0136-S X Mo17",373.033993221806
"BGEM-0137-S",390.589047524633
"BGEM-0137-S X Mo17",339.337535349689
"BGEM-0138-S",417.047351399811
"BGEM-0140-N",253.583851417112
"BGEM-0140-N X B73",308.723528519763
"BGEM-0141-N",365.02966306897
"BGEM-0141-N X B73",279.783333333367
"BGEM-0143-N",336.277902764688
"BGEM-0143-N X B73",288.458131270255
"BGEM-0144-N",294.431647121293
"BGEM-0144-N X B73",312.23663013852
"BGEM-0145-N",287.643873849606
"BGEM-0145-N X B73",380.150000000034
"BGEM-0146-N",376.10261896031
"BGEM-0146-N X B73",292.082117945221
"BGEM-0147-S",324.217379805594
"BGEM-0147-S X Mo17",339.872832729649
"BGEM-0148-S",315.995255163661
"BGEM-0148-S X Mo17",353.312470944471
