"PLOT.ID","rows","ranges","Block","Rep","Group","Trt","year","genotype","note","Calibration","ASD","leaf_length","leaf_width","ear_height","flag_leaf","plant_height"
"1050","50","1","1","1","Inbred","HN","2022","BGEM-0099-S","BGEM_Short_early","0","1",60,7.6,70,130,163
"1051","1","2","1","1","Inbred","HN","2022","BGEM-0160-S","BGEM_Tall_late","0","2",55.05,8.1,92,163,199
"1052","2","2","1","1","Inbred","HN","2022","BGEM-0172-S","BGEM_Tall_late","0","2",74,8.1,101.5,225,261.5
"1053","3","2","1","1","Inbred","HN","2022","BGEM-0192-N","BGEM_Tall_late","0","2",69.75,6.15,102,177.5,216.5
"1054","4","2","1","1","Inbred","HN","2022","BGEM-0211-N","BGEM_Tall_late","0","2",79.05,6.85,88.5,175.5,212.5
"1055","5","2","1","1","Inbred","HN","2022","BGEM-0014-S","BGEM_Tall_late","0","2",66.25,7.3,80,143,179.5
"1056","6","2","1","1","Inbred","HN","2022","BGEM-0235-N","BGEM_Tall_late","0","2",69.5,6.95,97,188.5,225
"1057","7","2","1","1","Inbred","HN","2022","B73","BGEM_Tall_late","0","2",76.5,8.45,94.5,165.5,204.5
"1058","8","2","1","1","Inbred","HN","2022","BGEM-0250-S","BGEM_Tall_late","0","2",73,8.05,112.5,207.5,250
"1059","9","2","1","1","Inbred","HN","2022","BGEM-0183-N","BGEM_Tall_late","0","2",70.25,6.5,81,165.5,199.5
"1060","10","2","1","1","Inbred","HN","2022","BGEM-0213-S","BGEM_Tall_late","0","2",60.5,6.1,107,166,186.5
"1061","11","2","1","1","Inbred","HN","2022","BGEM-0056-S","BGEM_Tall_late","0","2",71.75,8.75,73,149.5,192
"1062","12","2","1","1","Inbred","HN","2022","BGEM-0294-N","BGEM_Tall_late","0","2",72.25,7.5,91.5,175,210
"1063","13","2","1","1","Inbred","HN","2022","BGEM-0196-N","BGEM_Tall_late","0","2",63.25,5.5,70,192.5,231
"1064","14","2","1","1","Inbred","HN","2022","BGEM-0051-S","BGEM_Tall_late","0","2",77.75,8.85,92.5,181,222
"1065","15","2","1","1","Inbred","HN","2022","Mo17","BGEM_Tall_late","0","2",61.8,7.85,86.5,153.5,195
"1066","16","2","1","1","Inbred","HN","2022","BGEM-0188-S","BGEM_Tall_late","0","2",78.35,8.5,95.5,188.5,231
"1067","17","2","1","1","Inbred","HN","2022","BGEM-0011-S","BGEM_Tall_late","0","2",81.55,8.15,75.5,175,221
"1068","18","2","1","1","Inbred","HN","2022","BGEM-0038-N","BGEM_Tall_late","0","2",70.2,8.05,77.5,157.5,196.5
"1069","19","2","1","1","Inbred","HN","2022","BGEM-0307-S","BGEM_Tall_late","0","1",73.95,8.2,74,174,226
"1070","20","2","1","1","Inbred","HN","2022","BGEM-0252-S","BGEM_Tall_late","0","1",86.2,8.1,81.5,189.5,232
"1071","21","2","1","1","Inbred","HN","2022","BGEM-0134-S","BGEM_Tall_late","0","2",77.5,10.4,100,198,235.5
"1072","22","2","1","1","Inbred","HN","2022","BGEM-0293-N","BGEM_Tall_late","0","1",69.35,6.7,76,179,206.5
"1073","23","2","1","1","Inbred","HN","2022","B73","BGEM_Tall_late","0","2",80.25,8.8,91.5,175.5,221.5
"1074","24","2","1","1","Inbred","HN","2022","BGEM-0328-S","BGEM_Tall_late","0","1",70.35,8.2,122,206.5,243
"1075","25","2","1","1","Inbred","HN","2022","BGEM-0027-S","BGEM_Tall_late","0","2",75.1,9.6,93,194,231.5
"1076","26","2","1","1","Inbred","HN","2022","BGEM-0314-S","BGEM_Short_early","0","1",76.35,9.45,70,168.5,210
"1077","27","2","1","1","Inbred","HN","2022","BGEM-0068-S","BGEM_Short_early","0","1",77.45,8.85,70,161,197.5
"1078","28","2","1","1","Inbred","HN","2022","BGEM-0010-S","BGEM_Short_early","0","2",74.1,10.25,79,183,230.5
"1079","29","2","1","1","Inbred","HN","2022","BGEM-0255-S","BGEM_Short_early","0","2",70,8.35,100.5,186,231.5
"1080","30","2","1","1","Inbred","HN","2022","BGEM-0266-S","BGEM_Short_early","0","1",73.85,7.8,77,141.5,169
"1081","31","2","1","1","Inbred","HN","2022","BGEM-0298-S","BGEM_Short_early","0","2",71.5,9.85,85,171.5,206
"1082","32","2","1","1","Inbred","HN","2022","Mo17","BGEM_Short_early","0","2",62.5,8.5,76,150.5,205.5
"1083","33","2","1","1","Inbred","HN","2022","BGEM-0203-N","BGEM_Short_early","0","1",69.75,6.8,68.5,170.5,209.5
"1084","34","2","1","1","Inbred","HN","2022","BGEM-0184-N","BGEM_Short_early","0","1",58.25,6.4,62.5,165,183.5
"1085","35","2","1","1","Inbred","HN","2022","BGEM-0123-N","BGEM_Short_early","0","1",63.15,7.3,93.5,181,224
"1086","36","2","1","1","Inbred","HN","2022","BGEM-0037-S","BGEM_Short_early","0","2",62,7.35,59.5,125.5,167
"1087","37","2","1","1","Inbred","HN","2022","BGEM-0117-S","BGEM_Short_early","0","1",69,7.45,62,163.5,209
"1088","38","2","1","1","Inbred","HN","2022","BGEM-0077-S","BGEM_Short_early","0","1",70,6.9,56,160.5,198
"1089","39","2","1","1","Inbred","HN","2022","BGEM-0085-N","BGEM_Short_early","0","1",70.75,6.6,90.5,161,192.5
"1090","40","2","1","1","Inbred","HN","2022","B73","BGEM_Short_early","0","1",76.5,8.45,89.5,171,213.5
"1091","41","2","1","1","Inbred","HN","2022","BGEM-0326-N","BGEM_Short_early","0","1",59,7.45,73,151.5,184
"1092","42","2","1","1","Inbred","HN","2022","BGEM-0320-N","BGEM_Short_early","0","1",67.7,6.7,85,160.5,196
"1093","43","2","1","1","Inbred","HN","2022","BGEM-0024-S","BGEM_Short_early","0","1",81.5,9.7,66.5,158,204
"1094","44","2","1","1","Inbred","HN","2022","BGEM-0013-S","BGEM_Short_early","0","1",75.25,7.95,79,175.5,216
"1095","45","2","1","1","Inbred","HN","2022","BGEM-0194-N","BGEM_Short_early","0","1",56.5,7.1,67,164,198.5
"1096","46","2","1","1","Inbred","HN","2022","BGEM-0012-S","BGEM_Short_early","0","1",64.7,7.3,60,140.5,181
"1097","47","2","1","1","Inbred","HN","2022","BGEM-0023-S","BGEM_Short_early","0","1",73.8,9.5,73.5,165.5,210
"1098","48","2","1","1","Inbred","HN","2022","Mo17","BGEM_Short_early","0","1",64,8.75,61,143.5,186.5
"1099","49","2","1","1","Inbred","HN","2022","BGEM-0112-S","BGEM_Short_early","0","2",72.15,7.7,75,150,197
"1100","50","2","1","1","Inbred","HN","2022","BGEM-0197-S","BGEM_Short_early","0","1",69.75,7.95,80,160,198.5
"1101","1","3","1","1","Inbred","HN","2022","BGEM-0193-N","BGEM_Tall_late","0","1",72.5,6.15,86,150,185
"1102","2","3","1","1","Inbred","HN","2022","BGEM-0070-S","BGEM_Tall_late","0","1",66.15,7.65,48,140,173.5
"1103","3","3","1","1","Inbred","HN","2022","BGEM-0158-S","BGEM_Tall_late","0","1",71.85,8.05,75.5,165.5,207
"1104","4","3","1","1","Inbred","HN","2022","BGEM-0264-S","BGEM_Tall_late","0","1",80.5,7,84.5,179.5,226
"1105","5","3","1","1","Inbred","HN","2022","BGEM-0309-S","BGEM_Tall_late","0","2",75.6,7.65,64.5,190.5,231
"1106","6","3","1","1","Inbred","HN","2022","B73","BGEM_Tall_late","0","2",79.5,8.55,92.5,177.5,220
"1107","7","3","1","1","Inbred","HN","2022","BGEM-0060-S","BGEM_Tall_late","0","2",73.8,8.95,93,185,228
"1108","8","3","1","1","Inbred","HN","2022","BGEM-0155-S","BGEM_Tall_late","0","2",75.2,7.25,71,146.5,194.5
"1109","9","3","1","1","Inbred","HN","2022","BGEM-0052-S","BGEM_Tall_late","0","2",64.7,5.25,66,128.5,150
"1110","10","3","1","1","Inbred","HN","2022","BGEM-0131-N","BGEM_Tall_late","0","2",69.65,7.05,65,164.5,195
"1111","11","3","1","1","Inbred","HN","2022","BGEM-0003-N","BGEM_Tall_late","0","1",79.85,6.3,110,194,227.5
"1112","12","3","1","1","Inbred","HN","2022","BGEM-0324-N","BGEM_Tall_late","0","1",75.85,9.25,93.5,177.5,213
"1113","13","3","1","1","Inbred","HN","2022","BGEM-0175-S","BGEM_Tall_late","0","1",72.25,6.35,82.5,169,200
"1114","14","3","1","1","Inbred","HN","2022","Mo17","BGEM_Tall_late","0","1",62.45,8.4,78,145.5,182
"1115","15","3","1","1","Inbred","HN","2022","BGEM-0233-S","BGEM_Tall_late","0","1",70.15,6.1,95.5,186,222.5
"1116","16","3","1","1","Inbred","HN","2022","BGEM-0124-N","BGEM_Tall_late","0","2",66.35,6.85,103.5,196.5,236
"1117","17","3","1","1","Inbred","HN","2022","BGEM-0223-N","BGEM_Tall_late","0","1",NA,NA,NA,NA,NA
