UID,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
B161,78.0,7.85,84.0,187.0,260.0
B162,80.25,8.85,80.0,174.0,218.5
B163,62.25,9.15,105.0,188.0,227.5
B165,63.35,6.9,87.5,162.5,194.0
B169,56.45,7.15,88.0,160.0,196.0
B170,66.75,7.7,88.0,149.5,199.0
B171,74.95,7.65,,,278.0
B173,72.55,7.45,95.0,158.0,202.0
B175,61.0,5.75,80.0,180.5,217.0
B176,60.5,6.1,107.0,166.0,186.5
B177,71.55,8.05,74.5,165.0,200.0
B180,84.0,8.05,92.5,185.0,213.5
B181,66.5,8.25,84.5,172.5,210.5
B182,75.1,8.85,70.0,170.0,215.0
B183,67.5,8.7,86.0,176.0,220.0
B185,58.5,7.85,73.0,149.5,185.0
B186,,,,,
B187,71.1,8.25,90.0,146.5,206.5
B188,74.55,8.75,82.0,156.5,204.0
B189,83.95,9.2,81.0,165.0,239.5
B190,75.55,8.4,75.0,154.5,200.5
B191,74.6,7.5,89.0,173.5,212.5
B194,81.3,6.45,68.5,147.5,182.5
B195,70.15,6.1,95.5,186.0,222.5
B197,70.75,8.45,103.5,169.0,219.5
B198,,,,,
B201,69.4,7.85,70.0,146.0,189.0
B202,70.55,9.05,77.5,165.0,201.5
B204,62.5,5.95,69.0,160.5,191.0
B205,74.9,6.3,81.0,165.5,197.0
B206,67.5,8.15,91.5,170.0,247.5
B207,73.0,8.05,112.5,207.5,250.0
B209,86.2,8.1,81.5,189.5,232.0
B210,77.85,7.3,65.0,150.0,181.0
B211,74.25,8.25,80.0,180.0,221.5
B212,70.0,8.35,100.5,186.0,231.5
B214,69.7,7.25,65.0,139.5,178.0
B215,62.5,10.8,80.0,169.5,211.5
B225,88.25,8.45,89.5,166.0,236.5
B226,71.2,9.25,80.5,171.0,209.5
B231,81.5,10.35,88.5,147.5,222.5
B236,75.25,7.0,83.5,151.0,246.0
B238,64.7,6.55,81.5,160.0,197.5
B239,83.25,10.15,110.0,204.0,255.0
B243,80.05,6.8,60.5,153.5,189.5
B246,71.55,9.1,85.0,170.0,213.0
B247,71.35,8.95,75.5,156.0,184.0
B248,75.35,9.4,124.0,185.0,276.0
B251,67.5,8.5,77.5,161.5,200.5
B252,74.5,9.0,102.0,178.0,231.0
B254,75.8,7.5,54.0,150.0,192.5
B257,73.0,7.2,66.5,158.0,196.0
B259,73.95,8.2,74.0,174.0,226.0
B261,75.6,7.65,64.5,190.5,231.0
B262,78.4,8.2,73.0,191.5,238.5
B265,85.1,9.45,84.5,179.0,213.5
B267,65.25,8.6,58.0,173.5,210.5
B268,77.25,9.35,82.5,175.0,226.0
B273,73.55,9.15,61.0,140.0,177.0
B274,76.6,8.85,83.5,183.0,225.0
B276,75.85,9.25,93.5,177.5,213.0
B277,74.95,7.95,77.5,185.0,226.0
B280,70.35,8.2,122.0,206.5,243.0
B283,65.75,7.1,78.5,144.0,175.5
B287,78.35,8.55,79.5,164.5,219.5
B288,83.15,9.45,78.5,191.5,230.0
B292,76.85,6.95,102.5,204.5,245.5
B297,80.85,9.35,97.5,182.5,225.0
B298,69.6,7.9,104.5,180.5,209.0
B299,63.6,7.6,66.0,156.5,198.5
B300,76.75,9.0,78.0,172.5,215.0
B302,78.5,8.25,100.0,191.0,231.5
B303,51.35,6.2,59.0,135.0,163.5
B304,69.5,9.5,54.0,138.0,176.0
B305,71.45,6.95,88.5,189.0,227.5
B306,85.55,7.45,107.0,195.0,235.0
B307,70.25,6.5,81.0,165.5,199.5
B308,64.4,8.25,87.0,170.0,207.5
B309,,,,,
B310,76.1,9.2,69.0,173.0,217.0
B311,68.0,7.3,90.0,170.0,214.5
B312,74.0,8.6,100.0,187.5,240.0
B313,77.6,8.05,82.5,176.5,220.0
B314,70.25,8.5,101.5,198.5,231.0
B315,72.0,6.25,77.5,175.0,207.5
