"genotype","CHL"
"BGEM-0190-N",404.661721154775
"BGEM-0191-N",277.060230483939
"BGEM-0192-N",265.705905669099
"BGEM-0193-N",259.303535734191
"BGEM-0194-N",355.15373305614
"BGEM-0196-N",326.634230005135
"BGEM-0197-S",435.351629580618
"BGEM-0198-S",394.08363950598
"BGEM-0199-S",362.222039794646
"BGEM-0200-S",360.481113083755
"BGEM-0201-N",358.824848422159
"BGEM-0202-N",329.120682283659
"BGEM-0203-N",307.255438447205
"BGEM-0204-N",325.511795985405
"BGEM-0205-N",359.654417180237
"BGEM-0206-N",386.906585351625
"BGEM-0207-N",424.704826542309
"BGEM-0208-N",381.057910903012
"BGEM-0209-N",334.196238968177
"BGEM-0210-N",422.952955752099
"BGEM-0211-N",313.200551853418
"BGEM-0212-N",323.376257531943
"BGEM-0213-S",288.970020947602
"BGEM-0214-S",377.31537996341
"BGEM-0215-N",362.552383741719
"BGEM-0216-N",329.146605802611
"BGEM-0217-S",353.455209919294
"BGEM-0218-S",417.750254674524
"BGEM-0219-S",413.767399363043
"BGEM-0220-S",411.426644416841
"BGEM-0221-S",431.794861225727
"BGEM-0222-S",351.464032362907
"BGEM-0223-N",331.925768059695
"BGEM-0224-N",331.108170498838
"BGEM-0225-N",342.426411035385
"BGEM-0226-S",395.381289284331
"BGEM-0227-N",333.659177261552
"BGEM-0228-N",342.621348933257
"BGEM-0229-N",316.966435005343
"BGEM-0230-N",333.670659633961
"BGEM-0231-N",304.713175478155
"BGEM-0233-S",372.36566308435
"BGEM-0235-N",303.449835483777
"BGEM-0236-S",366.402179864331
"BGEM-0237-N",351.289952450452
"BGEM-0238-N",325.230740685598
"BGEM-0239-N",317.322586279152
"BGEM-0240-N",427.233635849222
"BGEM-0242-N",442.456422905607
"BGEM-0243-S",444.933023994161
"BGEM-0244-S",389.827047457647
"BGEM-0245-S",395.025227032393
"BGEM-0246-N",313.551537327635
"BGEM-0247-N",314.201604299442
"BGEM-0248-N",416.965470653453
"BGEM-0249-N",330.784931055736
"BGEM-0250-S",364.955709701122
"BGEM-0251-S",338.907302935662
"BGEM-0252-S",366.658517190844
"BGEM-0253-N",355.664829797579
"BGEM-0254-S",371.413589243521
"BGEM-0255-S",325.528880301731
"BGEM-0256-N",314.455289410447
"BGEM-0257-S",327.866615502319
"BGEM-0258-S",376.728187633988
"BGEM-0259-N",358.847018905981
"BGEM-0260-N",407.975719173612
"BGEM-0261-S",441.596963910466
"BGEM-0262-S",313.095492541969
"BGEM-0263-S",388.089432228174
"BGEM-0264-S",322.901229207597
"BGEM-0266-S",340.930478649852
"BGEM-0268-S",349.426901629737
"BGEM-0269-S",332.86534587082
"BGEM-0270-S",372.499082088363
"BGEM-0272-S",431.778475224117
"BGEM-0276-S",292.041830866478
"BGEM-0277-S",354.109584349897
"BGEM-0278-S",265.935688079698
"BGEM-0279-S",428.050381741945
"BGEM-0280-S",391.544051447934
"BGEM-0281-N",309.379672546753
"BGEM-0282-N",422.500072625227
"BGEM-0283-N",356.675659819505
"BGEM-0284-N",300.514409057893
"BGEM-0285-N",329.460014822089
"BGEM-0286-N",326.102170878769
"BGEM-0287-N",347.132092788569
"BGEM-0288-S",356.398383851001
"BGEM-0289-N",320.54500052809
"BGEM-0290-N",392.249082879989
"BGEM-0291-N",397.326948591733
"BGEM-0292-S",351.607005723791
"BGEM-0293-N",318.794344627552
"BGEM-0294-N",357.264729795242
"BGEM-0295-S",389.604709794168
"BGEM-0296-S",436.267521464056
"BGEM-0297-N",387.878181448136
"BGEM-0298-S",318.279273098753
"BGEM-0299-N",394.204451378108
"BGEM-0300-S",312.262053022739
"BGEM-0301-S",269.125009273364
"BGEM-0302-S",368.415920546097
"BGEM-0303-N",364.723526883482
"BGEM-0304-N",285.249490312656
"BGEM-0305-S",323.293024630195
"BGEM-0306-S",419.347238171361
"BGEM-0307-S",382.34096144593
"BGEM-0308-S",406.276326902661
"BGEM-0309-S",356.745295287327
"BGEM-0310-S",424.343141701131
"BGEM-0311-N",375.191491302067
"BGEM-0312-S",327.625026772926
"BGEM-0313-S",387.040408611126
"BGEM-0314-S",350.134014337458
"BGEM-0315-S",431.147042073081
"BGEM-0316-S",318.427760277937
"BGEM-0317-S",403.896703462444
"BGEM-0318-S",347.420586375902
"BGEM-0319-S",388.959298481859
"BGEM-0320-N",385.813799388802
"BGEM-0321-S",404.734823103727
"BGEM-0322-S",365.250902117585
"BGEM-0323-S",414.984288120293
"BGEM-0324-N",330.328480596333
"BGEM-0325-N",375.603399827058
"BGEM-0326-N",326.436257408998
"BGEM-0327-N",321.083857147663
"BGEM-0328-S",356.037568696796
"Mo17",373.94712785799
