"genotype","CHL_LN","CHL_HN"
"BGEM-0136-S",334.898750101657,458.823695875821
"BGEM-0137-S",393.067258101684,381.109901280434
"BGEM-0138-S",411.30349312571,508.43323349403
"BGEM-0140-N",248.275664381514,290.590797533943
"BGEM-0141-N",363.218408195026,382.276410280066
"BGEM-0143-N",337.014984970344,382.760993341527
"BGEM-0144-N",292.155374093426,403.377431258333
"BGEM-0145-N",278.14973154761,311.157133217856
"BGEM-0146-N",372.597152994555,265.713617793185
"BGEM-0147-S",324.818600964542,343.363951992086
"BGEM-0148-S",332.264472225929,311.920613920806
"BGEM-0149-S",298.351291613681,439.806167377942
"BGEM-0150-S",285.003980456483,486.546534798408
"BGEM-0151-N",303.307539441651,392.90719204917
"BGEM-0152-N",274.807583783577,418.296934432547
"BGEM-0153-S",298.367303501953,396.923548683989
"BGEM-0154-S",263.55560593336,423.376444202158
"BGEM-0155-S",404.334982032205,418.538295415543
"BGEM-0156-S",253.737065204981,402.508517608935
"BGEM-0157-N",320.582015787667,397.056142304595
"BGEM-0158-S",323.493317214894,406.823592127081
"BGEM-0159-S",299.569126226189,441.353892261314
"BGEM-0160-S",319.284489282001,404.923108839177
"BGEM-0161-S",276.865229489893,371.507570210772
"BGEM-0162-S",333.156228618629,381.702317406347
"BGEM-0163-S",338.710767538728,423.422448565854
"BGEM-0164-S",337.133094386234,401.538151563702
"BGEM-0165-S",330.558477695972,397.004960129938
"BGEM-0166-S",271.476391968692,350.01117187
"BGEM-0167-S",379.973930897682,330.972514163456
"BGEM-0168-S",344.931607283971,388.553549251844
"BGEM-0169-S",269.453559946061,393.272497451583
"BGEM-0170-S",338.40266364572,360.805071698943
"BGEM-0171-S",347.514994120544,539.568265497384
"BGEM-0172-S",306.862812885563,380.823270570093
"BGEM-0173-S",287.816841068828,347.413610242093
"BGEM-0174-N",300.930258636976,379.360004899698
"BGEM-0175-S",345.233286795902,325.464973296387
"BGEM-0178-S",333.450773637794,452.98694816855
"BGEM-0179-S",367.06940844252,438.154475383753
