"genotype","CHL_blups_HN","CHL_blups_LN"
"BGEM-0136-S",440.623456177172,332.426281060629
"BGEM-0137-S",386.809353469349,359.690060760799
"BGEM-0138-S",474.976337368646,368.237446818136
"BGEM-0140-N",324.128019075687,291.825742947775
"BGEM-0141-N",387.617120422985,345.699802180362
"BGEM-0143-N",387.952677356933,333.418167619825
"BGEM-0144-N",402.228844327041,312.392313761185
"BGEM-0145-N",338.369491990244,305.827820944414
"BGEM-0146-N",306.90143642559,350.095652114803
"BGEM-0147-S",360.671595013683,327.701680501525
"BGEM-0148-S",338.898175851043,331.191585962848
"BGEM-0149-S",427.454478427956,315.296361606329
"BGEM-0150-S",459.820558942517,309.040430974941
"BGEM-0151-N",394.978567447487,317.619372004346
"BGEM-0152-N",412.560081919376,304.261344796118
"BGEM-0153-S",397.759754874799,315.303866433415
"BGEM-0154-S",416.077465954867,298.987504090089
"BGEM-0155-S",412.727216014375,364.971281708806
"BGEM-0156-S",401.627151813938,294.385520291647
"BGEM-0157-N",397.851571350302,325.715978462489
"BGEM-0158-S",404.615190996948,327.080515451347
"BGEM-0159-S",428.526224136306,315.867164876487
"BGEM-0160-S",403.299172349522,325.107823328003
"BGEM-0161-S",380.16007282223,305.225770413464
"BGEM-0162-S",387.219581053932,331.609555250229
"BGEM-0163-S",416.109322378374,334.212986740229
"BGEM-0164-S",400.95520704153,333.473525909147
"BGEM-0165-S",397.8161294726,330.391980460942
"BGEM-0166-S",365.274563831432,302.700003738858
"BGEM-0167-S",352.090954839319,353.553173281546
"BGEM-0168-S",391.963821071142,337.128715717914
"BGEM-0169-S",395.231528746669,301.751895414755
"BGEM-0170-S",372.748964445081,334.068577386224
"BGEM-0171-S",496.53626529088,338.339558010664
"BGEM-0172-S",386.610871660993,319.28574089159
"BGEM-0173-S",363.475842652498,310.358828415395
"BGEM-0174-N",385.59761102322,316.505132317399
"BGEM-0175-S",348.277174140138,337.270113942419
"BGEM-0178-S",436.581711178951,331.747609513444
"BGEM-0179-S",426.310739107546,347.504779237242
"BGEM-0180-S",366.374580559179,306.560685767621
"BGEM-0181-N",382.899419607172,317.607165890856
"BGEM-0182-N",355.211035837137,327.676329507673
"BGEM-0183-N",328.647210766605,293.64120704009
"BGEM-0184-N",391.483443265231,346.600632115815
"BGEM-0185-N",354.508371977978,326.251439597074
"BGEM-0186-S",376.545631099899,324.415396899317
"BGEM-0187-S",424.365784413103,332.437289637913
"BGEM-0188-S",415.332304123206,343.948051276928
"BGEM-0189-S",324.034761218929,298.082448066811
"BGEM-0190-N",458.485148916191,327.972411216469
"BGEM-0191-N",337.572764534028,289.152238414652
"BGEM-0192-N",311.393952992968,294.48194054132
"BGEM-0193-N",305.433914395626,293.956305620431
"BGEM-0196-N",364.461377207659,315.615298049705
"BGEM-0197-S",458.792191385152,355.833448171467
"BGEM-0198-S",428.360956527481,342.275154783488
"BGEM-0199-S",399.180387607709,328.231564973201
"BGEM-0200-S",408.995827038932,317.64020277897
"BGEM-0201-N",388.362318545851,333.040939265496
"BGEM-0202-N",391.58666476909,303.462953818723
"BGEM-0203-N",375.410402976138,299.310875446874
"BGEM-0204-N",386.257640892137,302.301077579979
"BGEM-0205-N",410.28337344171,320.90248970586
"BGEM-0206-N",417.086117650581,342.63595876423
"BGEM-0207-N",441.799671934469,356.141701769041
"BGEM-0208-N",438.727345078154,321.871218914353
"BGEM-0209-N",383.143776365589,317.560753692552
"BGEM-0210-N",437.364907203368,357.772909122829
"BGEM-0211-N",372.029791734253,302.461443276285
"BGEM-0212-N",380.4338952222,304.86057383059
"BGEM-0213-S",362.877851623073,286.844154890017
"BGEM-0214-S",429.880945548504,323.784728416506
"BGEM-0215-N",390.287872064556,331.926965997502
"BGEM-0216-N",373.269252334276,317.333221254851
"BGEM-0217-S",372.992463364156,341.959416288209
"BGEM-0218-S",423.282769312817,363.389679361703
