UID,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
B001,57.5750000000293,7.25000000000278,64.7499999999659,161.750000000392,210.250000000387
B002,57.9250000000293,6.47500000000278,62.249999999965894,156.500000000392,191.500000000387
B003,81.20000000002929,6.35000000000278,82.49999999996591,175.000000000392,215.500000000387
B004,52.025000000029294,7.25000000000278,72.99999999996591,137.250000000392,162.000000000387
B005,67.8750000000293,8.70000000000278,72.24999999996591,155.250000000392,195.500000000387
B006,68.7250000000293,8.02500000000278,70.74999999996601,151.000000000392,193.000000000387
B007,72.7250000000293,7.10000000000278,74.99999999996591,188.000000000392,224.750000000387
B008,73.1807154050385,7.6258703242513,69.3383843604146,165.703690121999,203.14514278919398
B009,72.3750000000293,9.175000000002779,59.999999999965894,150.250000000392,188.750000000387
B010,79.8500000000293,8.50000000000278,60.749999999965894,164.750000000392,206.000000000387
B011,62.8000000000293,7.75000000000278,54.249999999966,127.25000000039199,164.250000000387
B012,67.8000000000293,7.80000000000278,64.7499999999659,151.250000000392,189.250000000387
B013,64.7750000000293,7.90000000000278,66.9999999999659,123.00000000039199,156.250000000387
B014,73.6750000000293,8.12500000000278,62.249999999966,171.250000000392,222.000000000387
B016,73.7500000000293,9.175000000002779,87.999999999966,178.250000000392,212.750000000387
B018,85.4307154050385,9.57587032425131,68.3383843604146,155.203690121999,198.14514278919398
B019,75.5000000000292,7.55000000000278,64.7499999999659,168.000000000392,206.500000000387
B021,73.6500000000293,8.85000000000278,59.999999999965894,146.500000000392,190.000000000387
B022,73.1000000000293,8.62500000000278,57.749999999965894,133.500000000392,177.000000000387
B023,82.3500000000293,8.47500000000278,76.24999999996591,184.500000000392,231.500000000387
B024,65.4000000000293,9.10000000000278,47.999999999965894,109.25000000039199,128.750000000387
B025,70.5500000000293,9.625000000002778,70.49999999996591,169.750000000392,186.750000000387
B026,66.2250000000293,7.90000000000278,55.999999999965894,137.250000000392,177.000000000387
B027,68.7750000000293,7.35000000000278,76.24999999996601,134.000000000392,171.000000000387
B028,69.9000000000293,7.55000000000278,70.49999999996591,158.250000000392,191.000000000387
B029,62.650000000029294,7.80000000000278,49.249999999965894,121.75000000039199,164.000000000387
