"genotype","CHL_LN","CHL_HN"
"BGEM-0069-S",295.003883137302,451.494195631574
"BGEM-0070-S",342.359166377449,430.630983947262
"BGEM-0070-S X Mo17",321.466722568626,445.182738178995
"BGEM-0071-S",367.878836104005,419.757307098764
"BGEM-0071-S X Mo17",342.955198075175,481.035555971505
"BGEM-0072-S",374.468755612218,432.667399660344
"BGEM-0072-S X Mo17",277.49572201255,413.754836758824
"BGEM-0073-S",295.835840466893,405.299399310756
"BGEM-0073-S X Mo17",452.069671788973,490.780918836721
"BGEM-0074-S",319.017696499773,513.685196939946
"BGEM-0075-S",319.219251800727,353.720533175863
"BGEM-0075-S X Mo17",304.360722188945,429.60784569535
"BGEM-0076-S",346.646374315631,404.214688081613
"BGEM-0076-S X Mo17",311.41661035775,488.933080965571
"BGEM-0077-S",409.59504578107,495.854682901163
"BGEM-0077-S X Mo17",345.836169906881,510.217403755449
"BGEM-0078-N",332.285608108082,328.604895224168
"BGEM-0078-S",432.755926154481,330.934359454203
"BGEM-0078-S X Mo17",300.960606843448,490.786017050124
"BGEM-0079-S",379.064814509875,434.500078886222
"BGEM-0079-S X Mo17",290.533228289454,512.787365538474
"BGEM-0080-S",366.648172524094,437.981526257602
"BGEM-0081-S",383.895477399197,475.265513447065
"BGEM-0081-S X Mo17",311.211877800052,476.365771383595
"BGEM-0082-S",390.884720606565,484.111187552848
"BGEM-0082-S X Mo17",378.045213716438,525.824292033087
"BGEM-0083-S",335.891219393832,411.429107196589
"BGEM-0083-S X Mo17",292.600405068117,483.502912587737
"BGEM-0084-S",376.268177499046,460.557972254849
"BGEM-0084-S X Mo17",329.888782157859,493.848605869768
"BGEM-0085-N",326.056819012819,442.83352496917
"BGEM-0085-N X B73",290.559993240441,469.637884374003
"BGEM-0086-N",315.827907241644,410.854818604851
"BGEM-0086-N X B73",310.976661991779,457.950417949864
"BGEM-0087-N",393.719742915998,438.05567286089
"BGEM-0087-N X B73",443.813843192967,456.032691916254
"BGEM-0088-N",303.353605664902,402.418604134558
"BGEM-0088-N X B73",348.147146480953,495.864578966726
"BGEM-0089-N",280.909501972789,435.558937101073
"BGEM-0089-N X B73",332.700866349017,513.934133532066
"BGEM-0090-N",311.828166206689,394.900867066487
"BGEM-0091-N",284.878043661782,289.960752490357
"BGEM-0091-N X B73",293.036228295536,463.928162802878
"BGEM-0092-S",344.061038048258,448.828739862828
"BGEM-0092-S X Mo17",337.442675404358,428.742194688702
"BGEM-0094-S",331.662437430449,443.669807441477
"BGEM-0094-S X Mo17",222.868737118804,486.542961925504
"BGEM-0095-S",384.037303790165,455.138778152351
"BGEM-0097-S",357.581609130186,420.36109109179
"BGEM-0098-S",344.419093743185,425.876059394504
"BGEM-0098-S X Mo17",311.928836181807,505.732820901036
"BGEM-0099-S",428.666030227397,432.086291973978
"BGEM-0100-S",278.281062041653,381.770966577579
"BGEM-0101-S",348.110549631016,436.002074196393
"BGEM-0101-S X Mo17",302.161912460422,494.550800933043
"BGEM-0102-N",328.766345819987,405.56598286046
"BGEM-0102-N X B73",302.058077327535,488.879188250648
"BGEM-0103-N",263.566070894633,349.749445258689
"BGEM-0103-N X B73",277.299984781024,438.697136490386
"BGEM-0105-N",306.614464531239,453.822415914591
"BGEM-0105-N X B73",253.261610360476,529.101733904264
"BGEM-0106-N",298.506373776576,363.227978200218
"BGEM-0107-N",371.459512224488,394.926176814823
"BGEM-0107-N X B73",294.991672996082,511.760117231905
"BGEM-0108-S",294.747562561181,372.009647982517
"BGEM-0108-S X Mo17",319.150242573781,522.212253218682
"BGEM-0109-N",351.38372708507,380.769748573451
"BGEM-0109-N X B73",286.914466959719,520.188470465714
"BGEM-0110-N",417.097618449525,424.490375626828
"BGEM-0110-N X B73",321.279146625834,523.881797205138
"BGEM-0111-S",380.319041160857,544.62515076022
"BGEM-0111-S X Mo17",317.200183546172,539.440269401036
"BGEM-0112-S",379.814880747258,530.849979271135
"BGEM-0112-S X Mo17",281.669408027005,535.500010984377
"BGEM-0113-S",296.825457235319,516.177882086181
"BGEM-0113-S X Mo17",339.132304133192,548.204477763468
"BGEM-0114-S",413.598442243202,456.149339011077
"BGEM-0114-S X Mo17",349.883662767446,532.547072598299
"BGEM-0115-S",369.303071179911,520.841708471668
"BGEM-0115-S X Mo17",331.32976859554,526.188940306317
"BGEM-0116-S",400.140388011286,510.469166911525
"BGEM-0116-S X Mo17",302.969658400663,542.60582750836
"BGEM-0117-S",478.958653525947,515.866998068764
"BGEM-0117-S X Mo17",307.384853320996,541.503804319681
"BGEM-0118-S",456.547415327523,493.353450941239
"BGEM-0118-S X Mo17",294.667673373465,527.758669614192
"BGEM-0120-N",379.583590940268,421.561522231205
"BGEM-0121-N",262.793498501097,297.593750281955
"BGEM-0121-N X B73",337.492913022265,410.675795038546
"BGEM-0122-N",299.051981206188,323.958220227288
"BGEM-0122-N X B73",276.347989294033,419.907614177072
"BGEM-0123-N",268.659189288632,370.63043783993
"BGEM-0123-N X B73",307.633333333368,484.137864072366
"BGEM-0124-N",328.783570955241,429.296635163181
"BGEM-0124-N X B73",337.251031190175,512.892424081441
"BGEM-0125-N",296.529004124708,360.846049468293
"BGEM-0125-N X B73",296.124818696833,495.282859325509
"BGEM-0126-N",292.140973680468,350.574253960156
"BGEM-0126-N X B73",390.449417914765,461.852105248173
"BGEM-0127-N",294.543691299637,324.393936633937
"BGEM-0127-N X B73",401.301977063582,512.284540240082
"BGEM-0129-N",316.895203095859,420.242970664985
"BGEM-0129-N X B73",362.361210804229,498.610212979626
"BGEM-0130-N",309.61592537964,325.213879666848
"BGEM-0130-N X B73",301.826653017744,519.60623212717
"BGEM-0131-N",351.632117434349,456.929832604734
"BGEM-0131-N X B73",354.448773158021,508.19869779683
"BGEM-0133-S",363.387326062008,435.884253845856
"BGEM-0134-S",270.675527935088,396.060836335917
"BGEM-0134-S X Mo17",304.196968221066,508.594383752353
"BGEM-0136-S",340.664111091791,453.326655919302
"BGEM-0136-S X Mo17",373.033993221807,563.13574459571
"BGEM-0137-S",390.589047524633,385.330822610634
