UID,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
B001,83.8006719632149,51.3706716622223,66.6044630358939,123.454723118704,173.513955720041
B002,83.1124979088933,50.7952741338922,65.2668927396634,123.443043362264,163.091680250222
B003,98.6438200152915,52.5715075814711,78.9994525804959,129.100046711852,178.257969355097
B004,76.5269380572172,48.7802221246289,69.5509739993288,110.70983184789,146.081181221673
B005,86.5652822079742,51.1923816130762,71.8099657379623,121.490887671314,165.263497224291
B006,86.9792345440879,50.9983600890055,70.1599196443149,118.051319087182,164.232189912323
B007,94.2825364740937,52.6973593808684,75.3850657986824,140.842981121752,181.351891291003
B008,89.6195476639464,50.9827369801946,69.4729688831663,127.735597618935,169.060329936552
B009,89.1820523326929,50.7938509149849,64.6008356266344,118.151514773273,158.663130427692
B010,95.6426655784672,52.4299243071492,66.211594907436,123.61503621645,168.151157697804
B011,82.5144629188617,50.0387401186014,60.0435653823979,101.225606841252,140.305860274649
B012,86.8609624480554,50.882995939558,66.8401839588449,118.111436498837,159.488176277267
B013,82.5440309428698,49.7765488698572,67.8419976864128,98.9740604553982,137.418199801136
B014,92.8780553337079,52.6763840809688,64.8365564832057,128.652042248314,181.764414215791
B016,93.2476556338095,51.9212732845853,81.6905992145569,134.483411606155,180.939368366216
B018,94.7622160187465,51.2112073241257,68.8258802573293,120.712737752563,165.549359532829
B019,94.2234004260774,52.5085816817725,68.2152224084479,126.127091386141,167.326111848229
B021,89.5516526327944,51.6066437860922,64.718696111048,114.15085034703,157.838084578117
B022,87.3192668201813,50.6050732158891,63.9133164018329,106.608971735555,149.381364619973
B023,97.8750513910803,53.1797912785579,74.638616308736,138.932100068609,189.808611249147
B024,80.9473576464313,47.7262133046769,58.8649609052716,89.3681507104431,118.648406723306
B025,91.9910146134643,52.8127235303159,68.8634548204036,127.830418049693,154.331639717423
B026,84.1259202273042,50.1698357429736,61.9686192118421,109.662083610139,150.000149007154
B027,84.9538248995316,49.7608173949325,74.0689575224719,107.410537224286,150.618933394336
B028,88.0436834083802,50.4162955167932,70.2581366305532,123.534879667577,163.819666987535
B029,81.4943660905815,50.3271504922201,51.4593967297147,98.5933168482513,137.005676876349
B030,92.0057986254684,52.5452884565967,82.9477772714987,126.895741617843,179.908061054247
B031,86.5339466510664,51.0823266172928,58.7960065568552,108.673549410213,147.994507514209
B032,86.5549371341472,51.0881848312397,64.6198041138264,115.416917800697,160.282903927243
B033,80.8143015383947,48.8588794992522,63.4615180541062,104.564979739293,143.606043672948
B034,84.0520001672839,50.2694684174964,54.4844813647174,101.906937506673,142.780997823373
B035,85.8408656197752,51.1504310132772,66.2115949533122,109.394411808894,151.237717781517
B036,86.7438514818746,50.9534459104599,70.7671461348404,118.371784463773,159.229612806125
B037,85.0646128354092,50.8362816315209,80.473475522396,111.683346495801,153.612060160167
B038,91.2961660492735,51.9632238843844,66.8401839588449,122.299616177453,168.151157697804
B039,86.2843859798971,49.3046046221175,62.2829136687323,105.166153855841,142.780997823373
B040,99.501292711527,53.2899116030305,74.9136239527804,135.418088038005,181.558152753397
B041,91.90231054144,52.1572454084552,79.2155299593954,126.500671975879,171.657602558498
B042,94.7112728222114,52.7550414555921,78.5280108263463,133.368382939341,179.289276667066
B043,86.4470101119417,50.6417799907133,63.0882933779473,120.463178570782,161.963313825992
B044,85.3382092116372,50.4634899415672,49.7367657951367,108.004705613416,124.011204745543
B045,84.5250885514139,50.5526349661402,64.1490372789077,108.212102713016,147.112488533642
B046,95.3617693503901,52.8127235303159,76.7797476547083,134.971513916802,180.526845441429
B047,90.2760692209933,51.0298230388548,65.4847889615411,120.262787198599,163.200882600354
B048,93.3363597058338,52.6344334811698,73.5385855490536,128.952609733916,173.513955720041
B049,88.2654435884411,50.7990947399598,65.9955175285365,107.838522123278,149.587626082367
B050,85.4416972956656,49.9810580438777,61.3596735209798,110.769949259545,152.062763631092
B051,90.0838770649406,51.5594493613182,61.6543247090757,120.142552375289,158.869391890085
B052,87.008802568096,49.8394747695558,61.0846659228116,102.447994211566,140.92464466183
B053,83.2684475310687,49.5772835208115,68.6866641167213,109.707874986977,147.52501145843
B054,92.8632713217039,52.8494303051401,76.8779646409465,127.2893613448,178.670492279885
B055,85.7669455597549,51.7220079355397,70.4545707865346,128.278442085903,171.451341096104
B056,89.2264043687051,50.0964221933252,70.9849426682005,126.38043715257,172.89517133286
B057,95.820073722516,53.2741801281058,76.7208173895634,138.851943519736,189.808611249147
B058,88.3541476604655,50.2694684174964,88.4675744304572,145.104154331833,158.456868965298
B059,95.080873122313,53.1640598036332,87.5443342827047,139.50607203053,184.033290302122
B060,81.2873899225247,48.6753456251312,60.4364334649797,97.0503032824452,134.943062252411
B061,87.0679386161122,51.3025019375488,61.7328982888911,109.594803181076,149.381364619973
B062,83.9189440592474,49.9548389190033,58.2167285391921,106.769284833301,147.52501145843
B064,95.1843612063414,52.7393099806675,74.6582596692827,132.412217455266,178.876753742279
B065,91.1335419172288,51.9317609345351,68.6277338974526,121.77143559237,167.738634773016
B066,72.2100065520316,47.5164603056815,59.7292707878791,97.3838055977472,131.02409446693
B067,87.2157787361528,51.0088477389553,61.948975759543,114.524430936768,162.169575288385
B068,84.2249935121766,50.9885951941416,60.7372723588042,95.3516038967792,138.865984464527
B071,85.6191054397143,50.196054867848,56.7434730574746,113.983374231875,152.681548018273
B072,88.2802276004452,49.5772835208115,65.5633625872327,124.651358249398,163.819666987535
B073,89.9212529328959,51.6905449856904,62.2043400889169,118.880086730539,160.725745051629
B074,88.5463398165183,51.4126222620214,61.7132549283444,121.164548373421,160.519483589235
B075,93.6468239579191,51.6328629109666,76.5243833253344,133.28106337306,179.289276667066
B076,82.2631347147926,49.278385497243,49.3771956488873,93.643649955341,126.692603756662
B077,88.5315558045142,50.4425146416676,69.1973927754691,121.264744059512,161.34452943881
B078,83.9928641192677,50.1226413181996,69.8063382828265,115.579342191928,152.887809480667
B079,84.8946888515154,50.2904437173959,73.4600119692383,124.05018413285,170.420033784135
B080,91.0596218572085,52.5662637564962,80.6887855328652,132.206112980682,178.257969355097
B081,88.5906918525305,49.9810580438777,69.0206020717868,111.73899086343,150.206410469548
B082,,,,,
B083,82.603166990886,49.7293544450832,62.4400609201155,112.440360666069,153.300332405454
B085,84.4363844793895,49.2469225473937,58.9631779832623,101.318639509935,138.862030037892
B086,81.863966390683,49.4776508462887,54.4255511454487,101.065293743506,134.32427786523
B087,85.2495051396128,50.2537369425717,67.5669899964922,109.755116278822,151.650240706304
B090,86.6835543040067,50.6365361657384,65.1312076000527,121.357776728195,161.138267976417
B091,87.8662752643315,50.4634899415672,62.872215815543,109.868188084723,151.443979243911
B092,86.3435220279133,50.7990947399598,59.356046065844,124.116014646906,163.200882600354
B093,83.1945274710484,49.8866691943297,57.4702791409981,112.166975762422,153.506593867848
B094,87.0531546041082,51.2920142875991,64.2079675440526,115.373237717344,161.138267976417
B095,88.8715880806076,51.1451871883023,64.0704636532161,118.732649752603,162.375836750779
B096,88.487203768502,51.1451871883023,58.5506664942576,110.583883922179,152.887809480667
B097,82.5735989668779,49.9338636191037,63.8347428220175,118.218795202337,162.169575288385
B098,84.2146242993286,50.5264158412658,60.377503245711,112.159812745013,154.950424104604
B099,83.578911783154,50.1750795679485,56.8809769483111,113.068736937244,154.331639717423
B100,86.6539862799986,51.3444525373479,56.3309615684699,114.271085170339,159.075653352479
B102,84.2737603473448,50.3166628422704,63.7954560091717,114.731985326359,155.981731416573
B103,80.0455329141836,49.5510643959371,63.9918900734007,108.419657102607,142.57473636098
B104,90.0247410169243,52.5243131566972,72.8510663701284,132.80728709723,179.083015204672
B105,83.6084798071621,50.9564094892064,69.7277647488874,121.204626647857,164.850974299504
B107,82.9727672909875,50.0072771687521,65.7794399661322,104.798286368503,144.018566597736
B109,84.066784179288,49.965326568953,64.1686807312068,111.986623527458,150.618933394336
B110,86.9792345440879,51.0245792138799,66.9580443669505,115.810889576185,158.869391890085
B111,94.2234004260774,53.4210072274026,84.9121178679124,138.491239049807,184.652074689303
B112,83.4063646720247,51.0647519754519,63.649171250633,96.6343610678624,135.355014060803
B113,87.2305627481569,51.1189680634278,60.0042785236759,112.280047568323,154.125378255029
B114,89.5368686207903,51.7587147103639,72.7921361508597,123.449010016302,167.94489623541
B115,84.4807365154017,51.1609186632269,61.9096889681942,113.569490461418,155.362947029392
